DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Attempt,Arrest,LarcenyCode,FID
2020/02/29 05:00:00+00,1414,1414,1 DESTINY USA DR,LARCENY, ,,All Other,66
2020/02/29 05:00:00+00,1800,1501,100 BERGER ST     ,LARCENY, ,,All Other,67
2020/02/29 05:00:00+00,1509,1520,100 TITUS AL     ,LARCENY, ,,All Other,68
2020/02/29 05:00:00+00,2,2355,1200 BURNET AV     ,AGGRAVATED ASSAULT, ,Yes,All Other,69
2020/02/29 05:00:00+00,56,56,800 BUTTERNUT ST     ,ROBBERY, ,,All Other,70
2020/02/29 05:00:00+00,2300,200,800 OSTROM AV     ,LARCENY, ,,All Other,71
2020/02/29 05:00:00+00,1700,1900,300 BURT ST     ,LARCENY, ,,All Other,72
2020/03/02 05:00:00+00,1230,1230,1 DESTINY USA DR,LARCENY, ,,All Other,73
2020/03/02 05:00:00+00,1050,1606,100 FOURTH NORTH ST     ,LARCENY, ,Yes,All Other,74
2020/03/02 05:00:00+00,1430,1434,600 HIGHLAND ST     ,LARCENY, ,,All Other,75
2020/03/02 05:00:00+00,100,100,1100 GRANT BLVD   ,LARCENY, ,,All Other,76
2020/03/03 05:00:00+00,145,200,1600 N  SALINA ST     ,ROBBERY, ,,All Other,77
2020/04/11 04:00:00+00,1620,1620,2800 S  SALINA ST     ,LARCENY, ,Yes,,78
2020/04/19 04:00:00+00,1501,1501,200 LAKEVIEW AV     ,LARCENY, ,Yes,,79
2020/04/26 04:00:00+00,1706,1706,600 SOUTH AV     ,LARCENY, ,Yes,,80
2020/04/27 04:00:00+00,1841,1841,700 LEMOYNE ST     ,LARCENY, ,Yes,,81
2020/04/27 04:00:00+00,2132,2132,100 MURRAY AV     ,AGGRAVATED ASSAULT, ,Yes,,82
2020/04/28 04:00:00+00,255,255,700 W  ONONDAGA ST     ,BURGLARY, ,Yes,,83
2020/04/30 04:00:00+00,1821,1821,700 FIRST NORTH ST     ,LARCENY, ,Yes,,84
2020/05/08 04:00:00+00,1348,1348,200 EVALEEN AV     ,AGGRAVATED ASSAULT, ,Yes,,85
2020/05/09 04:00:00+00,1106,1106,2500 ERIE BLVD E ,LARCENY, ,Yes,,86
2020/05/17 04:00:00+00,2209,2209,300 MERRIMAN ST     ,AGGRAVATED ASSAULT, ,Yes,,87
2020/05/18 04:00:00+00,2203,2203,1700 S  SALINA ST     ,AGGRAVATED ASSAULT, ,Yes,,88
2020/05/22 04:00:00+00,1403,1403,1000 W  GENESEE ST     ,LARCENY, ,,,89
2020/05/31 04:00:00+00,1049,1049,600 BUTTERNUT ST     ,LARCENY, ,Yes,,90
2020/06/02 04:00:00+00,1639,1639,1800 W  GENESEE ST     ,AGGRAVATED ASSAULT, ,,,91
2020/06/07 04:00:00+00,2011,2011,1200 BUTTERNUT ST     ,AGGRAVATED ASSAULT, ,Yes,,92
2020/06/08 04:00:00+00,853,853,200 W  BEARD AV     ,AGGRAVATED ASSAULT, ,,,93
2020/06/08 04:00:00+00,2304,2304,500 S  CLINTON ST     ,AGGRAVATED ASSAULT, ,Yes,,94
2020/06/08 04:00:00+00,2346,2346,200 KING ST     ,AGGRAVATED ASSAULT, ,Yes,,95
2020/06/09 04:00:00+00,234,230,100 GERTRUDE ST     ,AGGRAVATED ASSAULT, ,Yes,,96
2020/06/09 04:00:00+00,1517,1517,3300 BURNET AV     ,BURGLARY, ,Yes,,97
2020/06/09 04:00:00+00,1600,1600,600 COMSTOCK AV     ,LARCENY, ,,,98
2020/06/09 04:00:00+00,1627,1627,2500 ERIE BLVD E ,LARCENY, ,,,99
2020/06/17 04:00:00+00,1127,1230,500 EUCLID AV     ,LARCENY, ,,,100
2020/01/21 05:00:00+00,2300,2300,300 WOODRUFF AV     ,LARCENY, ,,All Other,101
2020/01/21 05:00:00+00,1530,1545,400 LAMBRETH LN     ,LARCENY, ,,All Other,102
2020/01/21 05:00:00+00,1500,1800,1400 BUTTERNUT ST     ,LARCENY, ,,All Other,103
2020/01/22 05:00:00+00,114,114,400 ERIE BLVD E ,ROBBERY, ,Yes,All Other,104
2020/01/22 05:00:00+00,114,114,400 ERIE BLVD E ,ROBBERY,A,Yes,All Other,105
2020/01/22 05:00:00+00,1315,1315,900 E  BRIGHTON AV     ,LARCENY, ,,All Other,106
2020/01/22 05:00:00+00,2115,2140,500 PARK ST     ,ROBBERY,A,,All Other,107
2020/01/22 05:00:00+00,1555,1630,200 SHUART AV     ,LARCENY, ,,All Other,108
2020/01/22 05:00:00+00,910,910,400 STOLP AV     ,LARCENY, ,,All Other,109
2020/01/23 05:00:00+00,545,545,100 GIFFORD ST     ,ROBBERY, ,Yes,All Other,110
2020/01/23 05:00:00+00,1500,1500,1100 FIRST NORTH ST     ,LARCENY, ,,All Other,111
2020/01/23 05:00:00+00,1200,1100,100 WAYNE ST     ,LARCENY, ,,All Other,112
2020/01/23 05:00:00+00,1948,1954,100 E  ONONDAGA ST     ,BURGLARY, ,,All Other,113
2020/01/23 05:00:00+00,1200,1300,100 W  CORNING AV     ,LARCENY, ,,All Other,114
2020/01/23 05:00:00+00,830,830,400 CHURCHILL AV     ,LARCENY, ,,All Other,115
2020/01/23 05:00:00+00,455,45,300 SHONNARD ST     ,LARCENY, ,,All Other,116
2020/01/24 05:00:00+00,1600,1600,700 IRVING AV     ,LARCENY, ,Yes,All Other,117
2020/01/25 05:00:00+00,2245,30,900 ACKERMAN AV     ,BURGLARY, ,,All Other,118
2020/01/25 05:00:00+00,1817,1817,200 SLOCUM HGTS   ,LARCENY, ,,All Other,119
2020/01/25 05:00:00+00,1920,1926,2600 ERIE BLVD E ,ROBBERY, ,Yes,All Other,120
2020/01/25 05:00:00+00,947,125,4600 S  SALINA ST     ,LARCENY, ,Yes,All Other,121
2020/01/26 05:00:00+00,1938,1938,800 WOLF ST     ,ROBBERY, ,Yes,All Other,122
2020/01/26 05:00:00+00,1938,1938,800 WOLF ST     ,ROBBERY,A,Yes,All Other,123
2020/01/27 05:00:00+00,1315,1315,600 W  ONONDAGA ST     ,AGGRAVATED ASSAULT, ,Yes,All Other,124
2020/01/27 05:00:00+00,0,0,1400 FIRST NORTH ST     ,LARCENY, ,,All Other,125
2020/01/27 05:00:00+00,0,1933,500 GARFIELD AV     ,LARCENY, ,,All Other,126
2020/01/27 05:00:00+00,2300,2300,100 MOUNT OLYMPUS DR     ,LARCENY, ,,All Other,127
2020/01/28 05:00:00+00,1330,1330,400 N  STATE ST     ,LARCENY, ,,All Other,128
2020/01/28 05:00:00+00,1737,1737,800 MARYLAND AV     ,LARCENY, ,,All Other,129
2020/01/28 05:00:00+00,900,900,1100 TEALL AV     ,LARCENY, ,,All Other,130
2020/01/29 05:00:00+00,404,404,300 THAYER AV     ,ROBBERY, ,,All Other,131
2020/01/29 05:00:00+00,1216,1316,1500 ERIE BLVD E ,LARCENY, ,Yes,All Other,132
2020/01/29 05:00:00+00,2039,2039,1500 SPRING ST     ,LARCENY, ,Yes,All Other,133
2020/01/29 05:00:00+00,2120,2120,400 ELLIOTT ST     ,ROBBERY, ,Yes,All Other,134
2020/01/29 05:00:00+00,800,2300,800 E  BRIGHTON AV     ,LARCENY, ,,All Other,135
2020/01/29 05:00:00+00,1200,1200,500 E  BRIGHTON AV     ,LARCENY, ,,All Other,136
2020/01/29 05:00:00+00,1524,1524,400 E  BRIGHTON AV     ,LARCENY, ,,All Other,137
2020/01/29 05:00:00+00,1000,1120,200 W  FAYETTE ST     ,LARCENY, ,,All Other,138
2020/01/30 05:00:00+00,15,25,500 CARBON ST     ,ROBBERY, ,,All Other,139
2020/01/30 05:00:00+00,933,935,1500 W  GENESEE ST     ,ROBBERY, ,Yes,All Other,140
2020/01/30 05:00:00+00,1615,1615,3600 JAMES ST     ,LARCENY,A,,All Other,141
2020/01/30 05:00:00+00,1630,1640,100 JASPER ST     ,LARCENY, ,Yes,All Other,142
2020/01/30 05:00:00+00,1300,2025,100 LAKEVIEW AV     ,LARCENY, ,,All Other,143
2020/01/30 05:00:00+00,1000,1040,1000 COL EILEEN COLLINS BLVD   ,LARCENY, ,,All Other,144
2020/01/30 05:00:00+00,1535,1535,400 GRANT BLVD   ,LARCENY, ,,All Other,145
2020/01/31 05:00:00+00,945,953,100 PARKSIDE AV     ,ROBBERY, ,,All Other,146
2020/01/31 05:00:00+00,1124,1124,1 DESTINY USA DR,LARCENY, ,,All Other,147
2020/01/31 05:00:00+00,300,300,1600 W  ONONDAGA ST     ,LARCENY, ,,All Other,148
2020/01/31 05:00:00+00,1800,1800,200 N  STATE ST     ,LARCENY, ,,All Other,149
2020/01/31 05:00:00+00,1050,1915,1200 OAK ST     ,LARCENY, ,,All Other,150
2020/02/01 05:00:00+00,1049,1049,100 POLK ST     ,LARCENY, ,Yes,All Other,151
2020/02/01 05:00:00+00,1203,1203,1 DESTINY USA DR,LARCENY, ,,All Other,152
2020/02/01 05:00:00+00,1545,1556,1 DESTINY USA DR,LARCENY, ,Yes,All Other,153
2020/02/01 05:00:00+00,1700,1200,600 COMSTOCK AV     ,LARCENY, ,,All Other,154
2020/02/01 05:00:00+00,1245,1750,300 S  FRANKLIN ST     ,LARCENY, ,,All Other,155
2020/02/02 05:00:00+00,344,344,2300 S  SALINA ST     ,BURGLARY,A,,All Other,156
2020/02/02 05:00:00+00,100,200,700 S  CROUSE AV     ,LARCENY, ,,All Other,157
2020/02/02 05:00:00+00,1730,1730,700 N  SALINA ST     ,LARCENY, ,Yes,All Other,158
2020/02/02 05:00:00+00,1640,1640,1 DESTINY USA DR,LARCENY, ,,All Other,159
2020/02/03 05:00:00+00,1700,800,100 CROUSE DR     ,BURGLARY, ,,All Other,160
2020/02/03 05:00:00+00,1510,1510,600 S  GEDDES ST     ,ROBBERY, ,Yes,All Other,161
2020/02/03 05:00:00+00,1951,1951,100 MARY ST     ,ROBBERY, ,,All Other,162
2020/02/03 05:00:00+00,2048,2048,4200 S  SALINA ST     ,BURGLARY, ,,All Other,163
2020/02/03 05:00:00+00,2050,2050,4400 S  SALINA ST     ,LARCENY, ,Yes,All Other,164
2020/02/03 05:00:00+00,253,253,300 WALNUT PL     ,LARCENY, ,,All Other,165
2020/02/03 05:00:00+00,1320,1320,400 S  COLLINGWOOD AV     ,LARCENY, ,,All Other,166
2020/02/04 05:00:00+00,1415,1416,600 SKYTOP RD     ,LARCENY, ,,All Other,167
2020/02/04 05:00:00+00,1630,1630,2300 LODI ST     ,LARCENY, ,Yes,All Other,168
2020/02/04 05:00:00+00,1919,1919,800 PARK AV     ,ROBBERY, ,,All Other,169
2020/02/04 05:00:00+00,2135,2135,1400 MIDLAND AV     ,ROBBERY, ,Yes,All Other,170
2020/02/05 05:00:00+00,15,15,2800 MIDLAND AV     ,LARCENY, ,Yes,All Other,171
2020/02/05 05:00:00+00,1310,1310,1 DESTINY USA DR,LARCENY, ,Yes,All Other,172
2020/02/05 05:00:00+00,230,230,1 DESTINY USA DR,LARCENY, ,,All Other,173
2020/02/05 05:00:00+00,1200,1200,2300 LODI ST     ,LARCENY, ,,All Other,174
2020/02/05 05:00:00+00,1536,1536,100 COLUMBIA AV     ,LARCENY, ,,All Other,175
2020/02/06 05:00:00+00,1100,929,100 RUSKIN AV     ,BURGLARY, ,,All Other,176
2020/02/06 05:00:00+00,2030,1245,1 DESTINY USA DR,LARCENY, ,,All Other,177
2020/02/06 05:00:00+00,1819,1819,700 N  SALINA ST     ,LARCENY, ,,All Other,178
2020/02/06 05:00:00+00,1150,1150,100 W  FLORENCE AV     ,LARCENY, ,,All Other,179
2020/02/07 05:00:00+00,900,1158,1000 DANFORTH ST     ,LARCENY, ,Yes,All Other,180
2020/02/07 05:00:00+00,1300,1300,200 MOORE AV     ,LARCENY, ,,All Other,181
2020/02/07 05:00:00+00,1700,1700,700 HICKORY ST     ,LARCENY, ,,All Other,182
2020/02/07 05:00:00+00,1241,1800,200 SEDGWICK DR     ,LARCENY, ,,All Other,183
2020/02/08 05:00:00+00,2307,2307,1000 BELLEVUE AV     ,LARCENY, ,,All Other,184
2020/02/08 05:00:00+00,1400,2318,200 W  CALTHROP AV     ,BURGLARY, ,,All Other,185
2020/02/08 05:00:00+00,830,830,400 CHURCHILL AV     ,LARCENY, ,,All Other,186
2020/11/11 05:00:00+00,1843,1843,100 COLBY AVE    ,LARCENY, ,,,187
2020/02/08 05:00:00+00,1200,1230,100 REMINGTON AV     ,LARCENY, ,,All Other,188
2020/02/09 05:00:00+00,300,630,300 N  SALINA ST     ,RAPE, ,,All Other,189
2020/02/10 05:00:00+00,1538,2330,100 BLOSSOM RD     ,LARCENY, ,,All Other,190
2020/02/11 05:00:00+00,2200,833,2300 JAMES ST     ,LARCENY, ,,All Other,191
2020/02/11 05:00:00+00,2200,730,300 W  CALTHROP AV     ,BURGLARY, ,,All Other,192
2020/02/11 05:00:00+00,800,800,100 E  GENESEE ST     ,LARCENY, ,,All Other,193
2020/02/11 05:00:00+00,1637,1720,900 TURTLE ST     ,LARCENY, ,,All Other,194
2020/02/12 05:00:00+00,130,146,200 E  BELDEN AV     ,LARCENY, ,Yes,All Other,195
2020/02/12 05:00:00+00,1545,1545,100 LILAC ST     ,LARCENY, ,,All Other,196
2020/02/12 05:00:00+00,1500,1500,200 ARMSTRONG PL     ,LARCENY, ,,All Other,197
2020/02/13 05:00:00+00,1500,1455,100 W  KENNEDY ST     ,LARCENY, ,Yes,All Other,198
2020/02/13 05:00:00+00,1600,1700,400 WOODBINE AV     ,LARCENY, ,,All Other,199
2020/02/14 05:00:00+00,1300,1135,200 E  FLORENCE AV     ,LARCENY, ,,All Other,200
2020/02/14 05:00:00+00,1800,1200,700 WOLF ST     ,LARCENY, ,,All Other,201
2020/06/18 04:00:00+00,500,1646,200 CONKLIN AV     ,BURGLARY, ,,,202
2020/06/19 04:00:00+00,1401,1401,600 BUTTERNUT ST     ,LARCENY, ,,,203
2020/06/21 04:00:00+00,1550,1550,2500 ERIE BLVD E ,LARCENY, ,Yes,,204
2020/06/22 04:00:00+00,1950,1950,1200 SOUTH AV     ,LARCENY, ,Yes,,205
2020/06/29 04:00:00+00,2246,2246,600 KIRKPATRICK ST     ,AGGRAVATED ASSAULT, ,Yes,,206
2020/06/30 04:00:00+00,1643,1643,2500 ERIE BLVD E ,LARCENY, ,Yes,,207
2020/07/05 04:00:00+00,1900,1500,600 HIAWATHA BLVD E ,BURGLARY, ,,,208
2020/07/09 04:00:00+00,1853,1853,100 CROLY ST     ,BURGLARY, ,,,209
2020/07/12 04:00:00+00,1900,1900,100 MERRIMAN AV     ,LARCENY, ,Yes,,210
2020/07/13 04:00:00+00,931,931,400 WESTMORELAND AV     ,AGGRAVATED ASSAULT, ,Yes,,211
2020/07/13 04:00:00+00,1438,1438,1000 HARRISON ST     ,BURGLARY, ,Yes,,212
2020/07/14 04:00:00+00,2059,2059,2300 E  GENESEE ST     ,AGGRAVATED ASSAULT, ,,,213
2020/07/18 04:00:00+00,1021,1021,200 GRUMBACH AV     ,AGGRAVATED ASSAULT, ,,,214
2020/07/20 04:00:00+00,1704,1704,1 DESTINY USA DR,LARCENY, ,,,215
2020/07/24 04:00:00+00,48,48,100 VILLAGE DR     ,AGGRAVATED ASSAULT, ,,,216
2020/07/24 04:00:00+00,933,933,400 BUTTERNUT ST     ,LARCENY, ,Yes,,217
2020/07/24 04:00:00+00,1400,1405,100 LILAC ST     ,RAPE, ,Yes,,218
2020/07/26 04:00:00+00,124,124,400 MONTGOMERY ST     ,AGGRAVATED ASSAULT, ,,,219
2020/08/10 04:00:00+00,1300,1300,300 MITCHELL AV     ,RAPE, ,,,220
2020/08/16 04:00:00+00,2208,2208,200 WARNER AV     ,AGGRAVATED ASSAULT, ,Yes,,221
2020/08/17 04:00:00+00,705,705,100 COOK AV     ,MV THEFT, ,Yes,,222
2020/08/25 04:00:00+00,1531,1531,1000 S  TOWNSEND ST     ,BURGLARY, ,,,223
2020/08/25 04:00:00+00,330,1030,600 EUCLID AVE    ,LARCENY, ,,,224
2020/09/01 04:00:00+00,1758,1758,2500 ERIE BLVD E ,LARCENY, ,Yes,,225
2020/09/03 04:00:00+00,1851,1851,1 DESTINY USA DR,LARCENY, ,Yes,,226
2020/09/08 04:00:00+00,212,212,900 E  BRIGHTON AV     ,AGGRAVATED ASSAULT, ,Yes,,227
2020/09/11 04:00:00+00,1907,1907,1 DESTINY USA DR,LARCENY, ,Yes,,228
2020/09/11 04:00:00+00,1911,1911,700 FIRST NORTH ST     ,LARCENY, ,Yes,,229
2020/09/21 04:00:00+00,122,122,900 WALNUT AV     ,LARCENY, ,Yes,,230
2020/09/28 04:00:00+00,1318,1318,500 S  SALINA ST     ,LARCENY, ,Yes,,231
2020/09/29 04:00:00+00,831,831,600 BUTTERNUT ST     ,LARCENY, ,Yes,,232
2020/10/01 04:00:00+00,1816,1816,1 DESTINY USA DR,LARCENY, ,Yes,,233
2020/10/11 04:00:00+00,353,353,0 HUNTINGTON SCHOOL DRWY   ,AGGRAVATED ASSAULT, ,,,234
2020/10/11 04:00:00+00,843,843,800 W  LAFAYETTE AV     ,AGGRAVATED ASSAULT, ,Yes,,235
2020/10/12 04:00:00+00,905,905,200 S  GEDDES ST     ,ROBBERY, ,Yes,,236
2020/10/12 04:00:00+00,1401,1401,1 DESTINY USA DR,LARCENY, ,Yes,,237
2020/10/12 04:00:00+00,1924,1924,700 FIRST NORTH ST     ,LARCENY, ,Yes,,238
2020/10/12 04:00:00+00,2314,2314,500 S  CROUSE AV     ,AGGRAVATED ASSAULT,A,Yes,,239
2020/10/13 04:00:00+00,1200,1527,200 WYOMING ST     ,LARCENY, ,,,240
2020/10/21 04:00:00+00,1156,1156,2500 ERIE BLVD E ,LARCENY, ,Yes,,241
2020/10/31 04:00:00+00,2034,2034,100 HARTSON ST     ,RAPE, ,,,242
2020/11/01 04:00:00+00,1324,1324,1 DESTINY USA DR,LARCENY, ,Yes,,243
2020/11/03 05:00:00+00,1100,1132,200 MERRIL ST     ,MV THEFT, ,,,244
2020/11/07 05:00:00+00,2018,2018,1 DESTINY USA DR,LARCENY, ,Yes,,245
2020/11/08 05:00:00+00,931,931,700 FIRST NORTH ST     ,LARCENY, ,Yes,,246
2020/11/08 05:00:00+00,1312,1312,700 FIRST NORTH ST     ,LARCENY, ,Yes,,247
2020/11/10 05:00:00+00,2350,2350,200 DELHI ST     ,BURGLARY, ,Yes,,248
2020/11/11 05:00:00+00,1145,1752,300 PUTNAM ST     ,LARCENY, ,,,249
2020/11/11 05:00:00+00,2000,1812,0         ,LARCENY, ,,,250
2020/11/11 05:00:00+00,1855,1855,100 COLBY AVE    ,LARCENY, ,,,251
2020/11/11 05:00:00+00,1844,1844,100 LINWILL TER    ,LARCENY, ,,,252
2020/03/03 05:00:00+00,100,1542,100 E  GLEN AV     ,LARCENY, ,Yes,All Other,253
2020/11/11 05:00:00+00,1845,1845,300 KENWOOD AVE    ,LARCENY, ,,,254
2020/03/03 05:00:00+00,0,1625,200 BRYANT AV     ,LARCENY, ,,All Other,255
2020/11/11 05:00:00+00,1845,1845,100 REDFIELD PL     ,LARCENY, ,,,256
2020/03/03 05:00:00+00,1734,1734,300 VILLAGE DR     ,LARCENY, ,,All Other,257
2020/11/15 05:00:00+00,1919,1919,100 CHARMOUTH DR     ,LARCENY, ,Yes,,258
2020/03/04 05:00:00+00,1100,1400,500 S  SALINA ST     ,ROBBERY, ,,All Other,259
2020/11/18 05:00:00+00,1012,1012,700 FIRST NORTH ST     ,LARCENY, ,Yes,,260
2020/03/04 05:00:00+00,1800,1800,1 DESTINY USA DR,LARCENY, ,,All Other,261
2020/03/05 05:00:00+00,531,531,1000 S  CLINTON ST     ,LARCENY, ,,All Other,262
2020/11/19 05:00:00+00,1025,1025,500 S  STATE ST     ,LARCENY, ,Yes,,263
2020/03/05 05:00:00+00,1046,1046,700 JAMES ST     ,LARCENY, ,,All Other,264
2020/11/20 05:00:00+00,1224,1224,0         ,BURGLARY, ,Yes,,265
2020/03/05 05:00:00+00,2000,1200,100 N  MIDLER AV     ,LARCENY, ,,All Other,266
2020/11/29 05:00:00+00,1438,1438,800 PARK AV     ,BURGLARY, ,,,267
2020/03/05 05:00:00+00,1320,1900,300 E  BRIGHTON AV     ,LARCENY, ,,All Other,268
2020/12/03 05:00:00+00,1514,1514,0         ,AGGRAVATED ASSAULT, ,,,269
2020/03/05 05:00:00+00,2058,2058,1 DESTINY USA DR,LARCENY, ,,All Other,270
2020/12/08 05:00:00+00,1245,1531,100 SEELEY AVE    ,LARCENY, ,,,271
2020/03/05 05:00:00+00,1300,1330,200 HOLMES ST     ,LARCENY, ,,All Other,272
2020/12/10 05:00:00+00,834,834,1700 N  SALINA ST     ,LARCENY, ,Yes,,273
2020/03/05 05:00:00+00,1750,2100,400 HICKOK AV     ,LARCENY, ,,All Other,274
2020/12/12 05:00:00+00,1531,1531,4700 ONONDAGA BLVD   ,LARCENY, ,Yes,,275
2020/03/06 05:00:00+00,2157,2157,900 N  STATE ST     ,LARCENY, ,,All Other,276
2020/12/21 05:00:00+00,1434,1434,100 POND ST     ,AGGRAVATED ASSAULT, ,Yes,,277
