DATE,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,QualityOfLife,FID
2017/02/03 05:00:00+00,151,151,100 OAK ST,SIMPLE ASSAULT,False,22
2017/04/27 04:00:00+00,920,921,700 N  SALINA ST,SIMPLE ASSAULT,False,23
2017/04/28 04:00:00+00,2317,2330,4600 S  SALINA ST,POSSESSION/MARIJUANA,False,24
2017/05/07 04:00:00+00,1530,1534,1000 HIGHLAND ST,SIMPLE ASSAULT,False,25
2017/08/20 04:00:00+00,1500,1500,300 BURT ST,SEX OFFENSES,False,26
2017/11/13 05:00:00+00,1200,1200,1 DESTINY USA DR,PROSTITUTION PATRON/PROMOTING,False,27
2017/11/29 05:00:00+00,0,0,1100 E  COLVIN ST,OFFN AGAINST FAMILY,False,28
2018/01/01 05:00:00+00,45,45,300 HATCH ST,POSSESSION/USE DANGEROUS WEAPONS,True,29
2018/01/01 05:00:00+00,305,305,700 E  GENESEE ST,SIMPLE ASSAULT,False,30
2018/01/01 05:00:00+00,520,525,200 TENNYSON AV,SIMPLE ASSAULT,False,31
2018/01/01 05:00:00+00,655,655,200 KELLOGG ST,POSSESSION/USE DANGEROUS WEAPONS,True,32
2018/01/01 05:00:00+00,733,733,1400 LODI ST,SIMPLE ASSAULT,False,33
2018/01/01 05:00:00+00,1210,1210,100 RONEY LN,CRIMINAL MISCHIEF,False,34
2018/01/01 05:00:00+00,1257,1308,300 FOBES AV,CRIMINAL MISCHIEF,False,35
2018/01/01 05:00:00+00,1623,1623,1 DESTINY USA DR,ALL OTHER OFFENSES,False,36
2018/01/01 05:00:00+00,1659,1659,100 MINERVA ST,SIMPLE ASSAULT,False,37
2018/01/01 05:00:00+00,2222,2222,1200 LEMOYNE AV,SIMPLE ASSAULT,False,38
2018/01/02 05:00:00+00,2,2,0 TALLMAN ST,ALL OTHER OFFENSES,True,39
2018/01/02 05:00:00+00,142,142,100 CLAIRMONTE AV,OFFN AGAINST FAMILY,False,40
2018/01/02 05:00:00+00,540,710,100 GRAND AV,SIMPLE ASSAULT,False,41
2018/01/02 05:00:00+00,656,656,0 WALSH CIR,ALL OTHER OFFENSES,False,42
2018/01/02 05:00:00+00,1038,1038,1800 ERIE BLVD E,POSSESSION/MARIJUANA,False,43
2018/01/02 05:00:00+00,1100,1113,200 MARGUERITE AV,CRIMINAL MISCHIEF,False,44
2018/01/02 05:00:00+00,1138,1138,200 E  ADAMS ST,OFFN AGAINST FAMILY,False,45
2018/01/02 05:00:00+00,1100,1139,100 E  KENNEDY ST,SIMPLE ASSAULT,False,46
2018/01/02 05:00:00+00,1221,1221,1500 COURT ST,FORGERY/COUNTERFEIT,True,47
2018/01/02 05:00:00+00,1851,1851,100 NELSON ST,OFFN AGAINST FAMILY,False,48
2018/01/02 05:00:00+00,1327,1327,2500 LODI ST,PROSTITUTION PATRON/PROMOTING,True,49
2018/01/02 05:00:00+00,1549,1549,100 W  FAYETTE ST,CRIMINAL MISCHIEF,True,50
2018/01/02 05:00:00+00,1633,1633,100 MAPLEWOOD AV,POSSESSION/USE DRUG,True,51
2018/01/02 05:00:00+00,1653,1653,200 W  PLEASANT AV,OFFN AGAINST FAMILY,False,52
2018/01/02 05:00:00+00,1758,1758,900 JAMES ST,POSSESSION/MARIJUANA,False,53
2018/01/02 05:00:00+00,1815,1815,2300 MIDLAND AV,SIMPLE ASSAULT,False,54
2018/01/02 05:00:00+00,1837,1837,300 WOLF ST,POSSESSION/MARIJUANA,False,55
2018/01/02 05:00:00+00,1850,1855,1000 AVERY AV,SIMPLE ASSAULT,False,56
2018/01/02 05:00:00+00,1918,1918,0 CATHERINE ST,POSSESSION/MARIJUANA,False,57
2018/01/02 05:00:00+00,1955,2020,500 BUTTERNUT ST,POSSESSION/MARIJUANA,False,58
2018/01/02 05:00:00+00,2058,2058,100 MCALLISTER AV,POSSESSION/MARIJUANA,True,59
2018/01/02 05:00:00+00,2310,2310,300 WALNUT AV,POSSESSION/USE DRUG,False,60
2018/01/02 05:00:00+00,2311,2345,300 SEYMOUR ST,POSSESSION/MARIJUANA,False,61
2018/01/02 05:00:00+00,2319,2319,100 W  OSTRANDER AV,SIMPLE ASSAULT,False,62
2018/01/02 05:00:00+00,0,1200,200 MERRIMAN AV,CRIMINAL MISCHIEF,True,63
2018/01/03 05:00:00+00,2355,1,400 RICH ST,SIMPLE ASSAULT,False,64
2018/01/03 05:00:00+00,2000,30,500 S  CROUSE AV,CRIMINAL MISCHIEF,True,65
2018/01/03 05:00:00+00,152,152,400 S  SALINA ST,POSSESSION/USE DRUG,True,66
2018/01/03 05:00:00+00,348,348,500 S  STATE ST,ALL OTHER OFFENSES,False,67
2018/01/03 05:00:00+00,400,400,1200 CANAL ST,ALL OTHER OFFENSES,False,68
2018/01/03 05:00:00+00,747,747,500 S  STATE ST,ALL OTHER OFFENSES,False,69
2018/01/03 05:00:00+00,2300,845,200 HIER AV,SIMPLE ASSAULT,False,70
2018/01/03 05:00:00+00,400,1007,0 CENTENNIAL DR,OFFN AGAINST FAMILY,False,71
2018/01/03 05:00:00+00,1405,1405,0 SEYMOUR ST,POSSESSION/MARIJUANA,False,72
2018/01/03 05:00:00+00,1511,1511,600 ROBINSON ST,SIMPLE ASSAULT,True,73
2018/01/03 05:00:00+00,1622,1622,600 W  FAYETTE ST,POSSESSION/MARIJUANA,False,74
2018/01/03 05:00:00+00,1640,1640,600 OSWEGO ST,POSSESSION/USE DRUG,False,75
2018/01/03 05:00:00+00,1701,1701,0 WESTMORELAND AV,ALL OTHER OFFENSES,True,76
2018/01/03 05:00:00+00,1745,1754,100 TYLER CT,SIMPLE ASSAULT,False,77
2018/01/03 05:00:00+00,1803,1803,500 GIFFORD ST,POSSESSION/MARIJUANA,True,78
2018/01/03 05:00:00+00,1750,1807,100 DABLON CT,SIMPLE ASSAULT,False,79
2018/01/03 05:00:00+00,1807,1807,1200 TEALL AV,SIMPLE ASSAULT,False,80
2018/01/03 05:00:00+00,1910,1910,0 DAVIS ST,POSSESSION/USE DRUG,True,81
2018/01/03 05:00:00+00,1914,1914,100 E  KENNEDY ST,POSSESSION/MARIJUANA,False,82
2018/01/03 05:00:00+00,1935,1935,0 OAKWOOD AV,POSSESSION/MARIJUANA,True,83
2018/01/03 05:00:00+00,2043,2043,300 GRANT AV,SALE/MANUFACTURE MARIJUANA,True,84
2018/01/03 05:00:00+00,2050,2050,300 EDGEWOOD AV,CRIMINAL MISCHIEF,False,85
2018/01/03 05:00:00+00,2150,2150,0 WIMAN AV,POSSESSION/MARIJUANA,False,86
2018/01/03 05:00:00+00,2203,2203,0 W  COLVIN ST,POSSESSION/USE DRUG,False,87
2018/01/03 05:00:00+00,2243,2245,200 DAVIS ST,SIMPLE ASSAULT,False,88
2018/01/03 05:00:00+00,2302,2302,600 TURTLE ST,SIMPLE ASSAULT,False,89
2018/01/03 05:00:00+00,1545,1600,500 N  GEDDES ST,CRIMINAL MISCHIEF,True,90
2018/01/03 05:00:00+00,1730,1900,100 SHERWOOD AV,CRIMINAL MISCHIEF,True,91
2018/01/04 05:00:00+00,43,105,300 COOLIDGE AV,POSSESSION/MARIJUANA,True,92
2018/01/04 05:00:00+00,230,230,100 SAND ST,SIMPLE ASSAULT,False,93
2018/01/04 05:00:00+00,403,403,0 VALLEY DR,ALL OTHER OFFENSES,False,94
2018/01/04 05:00:00+00,434,434,1500 SOUTH AV,ALL OTHER OFFENSES,False,95
2018/01/04 05:00:00+00,753,753,200 OAKWOOD AV,POSSESSION/MARIJUANA,False,96
2018/01/04 05:00:00+00,715,816,1200 COURT ST,CRIMINAL MISCHIEF,True,97
2018/01/04 05:00:00+00,830,830,300 PROSPECT AV,SIMPLE ASSAULT,False,98
2018/01/04 05:00:00+00,1000,1047,100 E  KENNEDY ST,OFFN AGAINST FAMILY,False,99
2018/01/04 05:00:00+00,1108,1108,0 MERRIMAN AV,POSSESSION/MARIJUANA,True,100
2018/01/10 05:00:00+00,1557,1557,0 BUTTERNUT ST,POSSESSION/MARIJUANA,False,101
2018/01/10 05:00:00+00,1640,1645,200 GLENWOOD AV,SIMPLE ASSAULT,False,102
2018/01/10 05:00:00+00,1729,1729,1000 S  SALINA ST,POSSESSION/MARIJUANA,False,103
2018/01/10 05:00:00+00,1815,1815,0 KENMORE AV,POSSESSION/MARIJUANA,True,104
2018/01/10 05:00:00+00,1825,1825,600 N  GEDDES ST,SIMPLE ASSAULT,False,105
2018/01/10 05:00:00+00,1924,1924,0 W  LYNHURST AV,POSSESSION/USE DRUG,True,106
2018/01/10 05:00:00+00,1950,1950,100 GRIFFITHS ST,CRIMINAL MISCHIEF,False,107
2018/01/10 05:00:00+00,2000,2030,1 DESTINY USA DR,ALL OTHER OFFENSES,False,108
2018/01/10 05:00:00+00,2100,1515,1200 HARRISON ST,CRIMINAL MISCHIEF,True,109
2018/01/10 05:00:00+00,2350,2350,1200 MADISON ST,CRIMINAL MISCHIEF,True,110
2018/01/11 05:00:00+00,122,122,1700 GRANT BLVD,POSSESSION/MARIJUANA,False,111
2018/01/11 05:00:00+00,342,342,400 WINTON ST,SIMPLE ASSAULT,False,112
2018/01/11 05:00:00+00,938,938,900 N  STATE ST,KIDNAPPING,False,113
2018/01/11 05:00:00+00,957,957,600 ROBINSON ST,DISORDERLY CONDUCT,False,114
2018/01/11 05:00:00+00,1120,1115,700 JAMES ST,SIMPLE ASSAULT,False,115
2018/01/11 05:00:00+00,1136,1136,500 S  STATE ST,ALL OTHER OFFENSES,False,116
2018/01/11 05:00:00+00,1558,1558,600 S  SALINA ST,ALL OTHER OFFENSES,True,117
2018/01/11 05:00:00+00,1708,1708,0 W  PLEASANT AV,POSSESSION/MARIJUANA,False,118
2018/01/11 05:00:00+00,1716,1716,1400 S  SALINA ST,POSSESSION/MARIJUANA,True,119
2018/01/11 05:00:00+00,1700,1720,600 W  FAYETTE ST,POSSESSION/MARIJUANA,False,120
2018/01/11 05:00:00+00,1800,1800,0 W  COLVIN ST,POSSESSION/MARIJUANA,False,121
2018/01/11 05:00:00+00,1812,1812,500 W  BRIGHTON AV,POSSESSION/MARIJUANA,False,122
2018/01/11 05:00:00+00,1814,1814,2000 E  FAYETTE ST,ALL OTHER OFFENSES,True,123
2018/01/11 05:00:00+00,1832,1832,300 ONONDAGA AV,POSSESSION/MARIJUANA,False,124
2018/01/11 05:00:00+00,1906,1906,0 GRAND AV,ALL OTHER OFFENSES,False,125
2018/01/11 05:00:00+00,1908,1908,0 GARFIELD AV,POSSESSION/MARIJUANA,False,126
2018/01/11 05:00:00+00,1921,1921,100 BALLANTYNE RD,POSSESSION/MARIJUANA,True,127
2018/01/11 05:00:00+00,1955,1958,1100 IVY RIDGE RD,SIMPLE ASSAULT,False,128
2018/01/11 05:00:00+00,2208,2208,100 N  EDWARDS AV,POSSESSION/MARIJUANA,True,129
2018/01/11 05:00:00+00,2230,2249,1700 W  ONONDAGA ST,OFFN AGAINST FAMILY,False,130
2018/01/11 05:00:00+00,2300,2311,100 BISHOP AV,SIMPLE ASSAULT,False,131
2018/01/11 05:00:00+00,0,400,100 MOUNTAINVIEW AV,CRIMINAL MISCHIEF,True,132
2018/01/11 05:00:00+00,1200,1700,800 ACKERMAN AV,CRIMINAL MISCHIEF,True,133
2018/01/12 05:00:00+00,107,107,200 W  CALTHROP AV,SIMPLE ASSAULT,False,134
2018/01/12 05:00:00+00,501,501,700 PARK AV,OFFN AGAINST FAMILY,False,135
2018/01/12 05:00:00+00,1430,730,700 BUTTERNUT ST,CRIMINAL MISCHIEF,True,136
2018/01/12 05:00:00+00,1010,1010,1100 CANNON ST,OFFN AGAINST FAMILY,False,137
2018/01/12 05:00:00+00,1216,1216,500 S  STATE ST,POSSESSION/USE DRUG,False,138
2018/01/12 05:00:00+00,1234,1234,0 HERBST AV,POSSESSION/MARIJUANA,False,139
2018/01/12 05:00:00+00,1236,1236,0 BUTTERNUT ST,ALL OTHER OFFENSES,True,140
2018/01/12 05:00:00+00,1340,1340,400 SOUTH AV,SIMPLE ASSAULT,True,141
2018/01/12 05:00:00+00,1423,1440,1100 PARK ST,POSSESSION/MARIJUANA,False,142
2018/01/12 05:00:00+00,1434,1434,800 ERIE BLVD W,OFFN AGAINST FAMILY,False,143
2018/01/12 05:00:00+00,1506,1506,100 UNION AV,SIMPLE ASSAULT,False,144
2018/01/12 05:00:00+00,1522,1522,0 FABIUS ST,OFFN AGAINST FAMILY,True,145
2018/01/12 05:00:00+00,1545,1545,0 MERRIMAN AV,POSSESSION/MARIJUANA,False,146
2018/01/12 05:00:00+00,1,1600,2600 ERIE BLVD E,CRIMINAL MISCHIEF,True,147
2018/01/12 05:00:00+00,1610,1610,300 SLOCUM AV,POSSESSION/USE DRUG,False,148
2018/01/12 05:00:00+00,1637,1637,100 DICKERSON ST,CRIMINAL MISCHIEF,False,149
2018/01/12 05:00:00+00,1644,1644,200 RICHMOND AV,SIMPLE ASSAULT,False,150
2018/01/07 05:00:00+00,0,0,0 ORLANDO AV,SEX OFFENSES,False,151
2018/01/08 05:00:00+00,40,40,500 W  ONONDAGA ST,SIMPLE ASSAULT,False,152
2018/01/08 05:00:00+00,145,145,300 SHONNARD ST,ALL OTHER OFFENSES,True,153
2018/01/08 05:00:00+00,242,242,1200 S  GEDDES ST,SIMPLE ASSAULT,False,154
2018/01/08 05:00:00+00,1002,1002,100 BALLANTYNE RD,CRIMINAL MISCHIEF,True,155
2018/01/08 05:00:00+00,1430,1523,100 GRAND AV,CRIMINAL MISCHIEF,False,156
2018/01/08 05:00:00+00,1436,1436,300 HUTCHINSON AV,SIMPLE ASSAULT,False,157
2018/01/08 05:00:00+00,1523,1523,100 E  WILLOW ST,CRIMINAL MISCHIEF,True,158
2018/01/08 05:00:00+00,1620,1620,0 GAGE CT,POSSESSION/MARIJUANA,False,159
2018/01/08 05:00:00+00,1721,1721,200 UNION PL,OFFN AGAINST FAMILY,False,160
2018/01/08 05:00:00+00,1735,1735,1900 TEALL AV,POSSESSION/MARIJUANA,False,161
2018/01/08 05:00:00+00,1807,1807,700 S  SALINA ST,ALL OTHER OFFENSES,True,162
2018/01/08 05:00:00+00,2125,2125,1000 OAK ST,POSSESSION/MARIJUANA,True,163
2018/01/08 05:00:00+00,2241,2241,900 HIGHLAND ST,SIMPLE ASSAULT,False,164
2018/01/09 05:00:00+00,44,44,0 N  FRANKLIN ST,OFFN AGAINST FAMILY,False,165
2018/01/09 05:00:00+00,204,204,200 N  STATE ST,FORGERY/COUNTERFEIT,False,166
2018/01/09 05:00:00+00,834,834,500 S  CLINTON ST,OFFN AGAINST FAMILY,False,167
2018/01/09 05:00:00+00,1109,1109,2500 ERIE BLVD E,OFFN AGAINST FAMILY,False,168
2018/01/09 05:00:00+00,1137,1137,300 BASIN ST,POSSESSION/USE DRUG,False,169
2018/01/09 05:00:00+00,1237,1237,900 MILTON AV,ALL OTHER OFFENSES,True,170
2018/01/09 05:00:00+00,1324,1324,600 W  ONONDAGA ST,ALL OTHER OFFENSES,True,171
2018/01/09 05:00:00+00,1341,1341,900 GLENWOOD AV,DISORDERLY CONDUCT,True,172
2018/01/09 05:00:00+00,1445,1445,100 GRAND AV,POSSESSION/MARIJUANA,True,173
2018/01/09 05:00:00+00,1449,1449,0 S  GEDDES ST,POSSESSION/MARIJUANA,True,174
2018/01/09 05:00:00+00,1517,1517,300 OTISCO ST,POSSESSION/USE DRUG,False,175
2018/01/09 05:00:00+00,1518,1518,0 DEMONG AT MANOR DR,SIMPLE ASSAULT,False,176
2018/01/09 05:00:00+00,1555,1600,500 N  STATE ST,POSSESSION/MARIJUANA,False,177
2018/01/09 05:00:00+00,1615,1615,1900 E  FAYETTE ST,POSSESSION/USE DRUG,False,178
2018/01/09 05:00:00+00,1652,1652,2000 E  FAYETTE ST,POSSESSION/MARIJUANA,False,179
2018/01/09 05:00:00+00,1840,1840,0 S  STATE ST,POSSESSION/USE DRUG,False,180
2018/01/09 05:00:00+00,1948,1948,1200 LEMOYNE AV,SIMPLE ASSAULT,False,181
2018/01/09 05:00:00+00,2057,2057,300 BRUCE ST,SIMPLE ASSAULT,False,182
2018/01/09 05:00:00+00,2153,2153,0 SOUTH AV,POSSESSION/MARIJUANA,False,183
2018/01/09 05:00:00+00,2222,2222,400 GRANT BLVD,SIMPLE ASSAULT,False,184
2018/01/09 05:00:00+00,2332,2332,1300 OAK ST,SIMPLE ASSAULT,False,185
2018/01/10 05:00:00+00,43,43,700 BELLEVUE AV,SIMPLE ASSAULT,False,186
2018/01/10 05:00:00+00,206,206,0 S  GEDDES ST,ALL OTHER OFFENSES,False,187
2018/01/10 05:00:00+00,212,212,100 ROBINSON ST,POSSESSION/MARIJUANA,True,188
2018/01/10 05:00:00+00,237,237,500 BUTTERNUT ST,SIMPLE ASSAULT,False,189
2018/01/10 05:00:00+00,445,445,100 NELSON ST,CRIMINAL MISCHIEF,True,190
2018/01/10 05:00:00+00,547,547,500 S  STATE ST,ALL OTHER OFFENSES,False,191
2018/01/10 05:00:00+00,1930,700,400 SHONNARD ST,CRIMINAL MISCHIEF,True,192
2018/01/10 05:00:00+00,2000,830,100 GRIFFITH ST,CRIMINAL MISCHIEF,True,193
2018/01/10 05:00:00+00,900,956,1600 VALLEY DR,SIMPLE ASSAULT,False,194
2018/01/10 05:00:00+00,1030,1030,0 BUTTERNUT ST,ALL OTHER OFFENSES,False,195
2018/01/10 05:00:00+00,1145,1150,2600 E  FAYETTE ST,SIMPLE ASSAULT,False,196
2018/01/10 05:00:00+00,1201,1201,600 ROBINSON ST,SIMPLE ASSAULT,True,197
2018/01/10 05:00:00+00,1321,1321,0 TULLY ST,POSSESSION/MARIJUANA,False,198
2018/01/10 05:00:00+00,1337,1337,0 FABIUS ST,POSSESSION/MARIJUANA,False,199
2018/01/10 05:00:00+00,1453,1453,700 BUTTERNUT ST,DISORDERLY CONDUCT,True,200
2018/01/12 05:00:00+00,1705,1705,2100 E  FAYETTE ST,POSSESSION/USE DRUG,False,201
2018/01/12 05:00:00+00,1721,1721,100 GAGE CT,POSSESSION/MARIJUANA,True,202
2018/01/12 05:00:00+00,1800,1815,1000 BALLANTYNE RD,CRIMINAL MISCHIEF,False,203
2018/01/12 05:00:00+00,1822,1822,100 BALLANTYNE RD,POSSESSION/MARIJUANA,True,204
2018/01/12 05:00:00+00,1910,1930,1400 S  SALINA ST,POSSESSION/MARIJUANA,False,205
2018/01/12 05:00:00+00,2018,2018,0 RIVERDALE DR,POSSESSION/MARIJUANA,True,206
2018/01/12 05:00:00+00,2158,2158,100 ALBERT TER,CRIMINAL MISCHIEF,True,207
2018/01/12 05:00:00+00,1200,1200,200 LILAC ST,OFFN AGAINST FAMILY,True,208
2018/01/13 05:00:00+00,102,102,2700 JAMES ST,ALL OTHER OFFENSES,True,209
2018/01/13 05:00:00+00,120,120,100 ASH ST,POSSESSION/MARIJUANA,True,210
2018/01/13 05:00:00+00,144,144,600 S  GEDDES ST,ALL OTHER OFFENSES,True,211
2018/01/13 05:00:00+00,253,253,1400 MIDLAND AV,ALL OTHER OFFENSES,False,212
2018/01/13 05:00:00+00,355,355,600 ASH ST,CRIMINAL MISCHIEF,True,213
2018/01/13 05:00:00+00,545,651,300 CHEMUNG ST,OFFN AGAINST FAMILY,False,214
2018/01/13 05:00:00+00,1140,1140,100 POND ST,SIMPLE ASSAULT,False,215
2018/01/13 05:00:00+00,1219,1220,200 N  MIDLER AV,SIMPLE ASSAULT,False,216
2018/01/13 05:00:00+00,1629,1629,900 MEADOWBROOK DR,ALL OTHER OFFENSES,False,217
2018/01/13 05:00:00+00,1902,1902,400 CONSTELLATION WAY  N,ALL OTHER OFFENSES,False,218
2018/01/13 05:00:00+00,1845,1845,1400 S  STATE ST,SIMPLE ASSAULT,False,219
2018/01/13 05:00:00+00,2015,2030,400 SUNNYCREST RD,POSSESSION/MARIJUANA,True,220
2018/01/13 05:00:00+00,2126,2126,100 RANDALL AV,SIMPLE ASSAULT,False,221
2018/01/13 05:00:00+00,2100,2146,100 GIMINSKI DR,CRIMINAL MISCHIEF,False,222
2018/01/13 05:00:00+00,2341,2341,1000 W  GENESEE ST,ALL OTHER OFFENSES,True,223
2018/01/13 05:00:00+00,0,700,400 WENDELL TER,CRIMINAL MISCHIEF,True,224
2018/01/14 05:00:00+00,2310,2310,100 JOHN ST,CRIMINAL MISCHIEF,True,225
2018/01/14 05:00:00+00,2330,100,300 S  FRANKLIN ST,SEX OFFENSES,False,226
2018/01/14 05:00:00+00,107,107,400 JAMES ST,ALL OTHER OFFENSES,False,227
2018/01/14 05:00:00+00,405,430,400 CORTLAND AV,ALL OTHER OFFENSES,True,228
2018/01/14 05:00:00+00,430,430,300 TULLY ST,POSSESSION/USE DRUG,False,229
2018/01/14 05:00:00+00,446,446,500 IVY RIDGE RD,SIMPLE ASSAULT,False,230
2018/01/14 05:00:00+00,2200,830,100 LAKEVIEW AV,CRIMINAL MISCHIEF,True,231
2018/01/14 05:00:00+00,0,400,100 MOUNTAINVIEW AV,CRIMINAL MISCHIEF,True,232
2018/01/14 05:00:00+00,1050,1051,100 W  OSTRANDER AV,SIMPLE ASSAULT,False,233
2018/01/14 05:00:00+00,1300,1305,300 TAFT AV,SIMPLE ASSAULT,False,234
2018/01/14 05:00:00+00,1200,1630,300 HILLSDALE AV,CRIMINAL MISCHIEF,True,235
2018/01/14 05:00:00+00,2033,2033,900 BELLEVUE AV,OFFN AGAINST FAMILY,False,236
2018/01/14 05:00:00+00,2131,2131,700 PARK AV,SIMPLE ASSAULT,False,237
2018/01/14 05:00:00+00,2216,2216,100 FORDHAM RD,CRIMINAL MISCHIEF,True,238
2018/01/14 05:00:00+00,2254,2254,1200 LEMOYNE AV,OFFN AGAINST FAMILY,False,239
2018/01/14 05:00:00+00,2304,2255,400 W  ONONDAGA ST,OFFN AGAINST FAMILY,False,240
2018/01/15 05:00:00+00,30,30,1000 S  CLINTON ST,CRIMINAL MISCHIEF,True,241
2018/01/15 05:00:00+00,340,340,600 N  SALINA ST,CRIMINAL MISCHIEF,True,242
2018/01/15 05:00:00+00,2332,602,800 CARBON ST,SIMPLE ASSAULT,False,243
2018/01/15 05:00:00+00,605,605,500 N  SALINA ST,ALL OTHER OFFENSES,False,244
2018/01/15 05:00:00+00,2200,1150,200 KNAUL ST,CRIMINAL MISCHIEF,True,245
2018/01/15 05:00:00+00,1220,1220,500 WILKINSON ST,FRAUD,False,246
2018/01/15 05:00:00+00,1325,1327,100 HUDSON ST,SIMPLE ASSAULT,False,247
2018/01/15 05:00:00+00,2300,730,100 DUANE ST,CRIMINAL MISCHIEF,True,248
2018/01/15 05:00:00+00,1640,1955,300 COURT ST,SIMPLE ASSAULT,False,249
2018/01/15 05:00:00+00,1711,1711,1000 COL EILEEN COLLINS BLVD,ALL OTHER OFFENSES,False,250
2018/01/04 05:00:00+00,1112,1112,1000 S  CLINTON ST,OFFN AGAINST FAMILY,False,251
2018/01/04 05:00:00+00,1117,1117,500 S  STATE ST,ALL OTHER OFFENSES,False,252
2018/01/04 05:00:00+00,1232,1232,300 MOUNTAINVIEW AV,POSSESSION/USE DANGEROUS WEAPONS,True,253
2018/01/04 05:00:00+00,1702,1702,400 S  WARREN ST,OFFN AGAINST FAMILY,False,254
2018/01/04 05:00:00+00,1711,1711,0 OAK ST,POSSESSION/MARIJUANA,True,255
2018/01/04 05:00:00+00,1737,1737,400 S  SALINA ST,SIMPLE ASSAULT,False,256
2018/01/04 05:00:00+00,1759,1759,100 DABLON CT,FRAUD,True,257
2018/01/04 05:00:00+00,1810,1810,1100 S  MCBRIDE ST,SIMPLE ASSAULT,False,258
2018/01/04 05:00:00+00,1826,1826,0 SHONNARD ST,POSSESSION/MARIJUANA,True,259
2018/01/04 05:00:00+00,1945,1945,400 FABIUS ST,POSSESSION/MARIJUANA,True,260
2018/01/04 05:00:00+00,1954,1954,4900 BROAD RD,SIMPLE ASSAULT,False,261
2018/01/04 05:00:00+00,2026,2026,0 PARK ST,ALL OTHER OFFENSES,True,262
2018/01/04 05:00:00+00,2200,2026,200 WHITTIER AV,SIMPLE ASSAULT,False,263
2018/01/04 05:00:00+00,2055,2109,400 WINTON ST,OFFN AGAINST FAMILY,False,264
2018/01/04 05:00:00+00,2126,2126,0 S  CLINTON ST,POSSESSION/USE DRUG,True,265
2018/01/04 05:00:00+00,2300,2300,300 STAFFORD AV,SIMPLE ASSAULT,False,266
2018/01/04 05:00:00+00,1635,2337,900 SOUTH AV,CRIMINAL MISCHIEF,True,267
2018/01/05 05:00:00+00,735,735,500 VALLEY DR,SIMPLE ASSAULT,True,268
2018/01/05 05:00:00+00,1012,1028,200 LILAC ST,SIMPLE ASSAULT,False,269
2018/01/05 05:00:00+00,1405,1410,900 W  LAFAYETTE AV,SIMPLE ASSAULT,False,270
2018/01/05 05:00:00+00,1448,1448,200 SENECA DR,SIMPLE ASSAULT,False,271
2018/01/05 05:00:00+00,1706,1715,300 W  ONONDAGA ST,SIMPLE ASSAULT,False,272
2018/01/05 05:00:00+00,1750,1750,100 GAGE CT,POSSESSION/MARIJUANA,True,273
2018/01/05 05:00:00+00,1838,1838,0 W  CALTHROP AV,POSSESSION/MARIJUANA,False,274
2018/01/06 05:00:00+00,2335,2,800 ALMOND ST,POSSESSION/MARIJUANA,False,275
2018/01/06 05:00:00+00,5,6,300 BELLEVUE AV,CRIMINAL MISCHIEF,False,276
2018/01/06 05:00:00+00,510,510,1000 N  STATE ST,OFFN AGAINST FAMILY,False,277
2018/01/06 05:00:00+00,1010,1010,300 GREENWAY AV,CRIMINAL MISCHIEF,True,278
2018/01/06 05:00:00+00,1201,1159,1400 SOUTH AV,ALL OTHER OFFENSES,False,279
