DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,QualityOfLife,FID
2020/01/04 05:00:00+00,1330,1330,900 N  SALINA ST     ,CRIMINAL MISCHIEF,True,55
2020/01/04 05:00:00+00,100,100,400 ERIE BLVD   ,FORGERY/COUNTERFEIT,True,56
2020/01/14 05:00:00+00,1800,900,400 KIRK AV     ,CRIMINAL MISCHIEF,True,57
2020/01/14 05:00:00+00,1000,1015,2300 E  GENESEE ST     ,SIMPLE ASSAULT,True,58
2020/01/04 05:00:00+00,1641,1641,100 LINWILL TER    ,OFFN AGAINST FAMILY,True,59
2020/01/14 05:00:00+00,2000,800,700 JAMES ST     ,CRIMINAL MISCHIEF,True,60
2020/01/14 05:00:00+00,1400,1400,1000 PARK ST     ,ALL OTHER OFFENSES,False,61
2020/01/14 05:00:00+00,1445,1445,1500 SOUTH AV     ,POSSESSION/MARIJUANA,False,62
2020/01/14 05:00:00+00,1549,1549,3500 S  SALINA ST     ,SIMPLE ASSAULT,True,63
2020/01/14 05:00:00+00,1610,1619,500 BELLEVUE AV     ,SIMPLE ASSAULT,True,64
2020/01/14 05:00:00+00,1750,1750,200 EDNA RD     ,SIMPLE ASSAULT,True,65
2020/01/14 05:00:00+00,1830,1835,300 CLARENCE AV     ,OFFN AGAINST FAMILY,True,66
2020/01/14 05:00:00+00,1846,1846,800 KIRKPATRICK ST     ,SIMPLE ASSAULT,True,67
2020/01/14 05:00:00+00,733,733,200 HARRISON ST     ,ALL OTHER OFFENSES,True,68
2020/01/14 05:00:00+00,2130,2140,700 BEAR ST     ,CRIMINAL MISCHIEF,True,69
2020/01/14 05:00:00+00,2200,2200,200 GRAND AV     ,CRIMINAL MISCHIEF,True,70
2020/01/14 05:00:00+00,2216,2216,4400 S  SALINA ST     ,CRIMINAL MISCHIEF,True,71
2020/01/14 05:00:00+00,2245,2246,1300 OAK ST     ,SIMPLE ASSAULT,True,72
2020/01/14 05:00:00+00,1153,1153,1100 CANNON ST     ,POSSESSION/MARIJUANA,False,73
2020/01/14 05:00:00+00,2347,2347,500 S  GEDDES ST     ,POSSESSION/USE DRUG,False,74
2020/01/14 05:00:00+00,1000,1000,400 TEMPLE ST     ,STOLEN PROPERTY,False,75
2020/01/14 05:00:00+00,1350,1353,100 MARTIN LUTHER KING      W ,SIMPLE ASSAULT,False,76
2020/01/15 05:00:00+00,1645,1645,900 JAMES ST     ,SIMPLE ASSAULT,True,77
2020/01/15 05:00:00+00,245,251,200 DELHI ST     ,SIMPLE ASSAULT,True,78
2020/01/15 05:00:00+00,701,701,300 MILDRED AV     ,SIMPLE ASSAULT,True,79
2020/01/04 05:00:00+00,1654,1654,100 SOUTH AV     ,ALL OTHER OFFENSES,False,80
2020/01/04 05:00:00+00,1745,1745,100 HOPE AV     ,SIMPLE ASSAULT,True,81
2020/01/04 05:00:00+00,1659,1753,100 DABLON CT     ,SIMPLE ASSAULT,True,82
2020/01/04 05:00:00+00,1911,1911,100 CAMP AV     ,SIMPLE ASSAULT,True,83
2020/01/04 05:00:00+00,1700,2058,100 REMINGTON AVE    ,OFFN AGAINST FAMILY,True,84
2020/01/04 05:00:00+00,0,1555,1300 W  ONONDAGA ST     ,CRIMINAL MISCHIEF,False,85
2020/01/05 05:00:00+00,2355,24,900 JAMES ST     ,SIMPLE ASSAULT,True,86
2020/01/05 05:00:00+00,8,8,500 SALISBURY PARK DR     ,SIMPLE ASSAULT,True,87
2020/01/05 05:00:00+00,203,203,900 S  MCBRIDE ST     ,CRIMINAL MISCHIEF,True,88
2020/01/05 05:00:00+00,214,214,300 FOBES AV     ,SIMPLE ASSAULT,True,89
2020/01/05 05:00:00+00,320,320,2200 S  GEDDES ST     ,POSSESSION/MARIJUANA,False,90
2020/01/05 05:00:00+00,439,439,1000 W  GENESEE ST     ,SIMPLE ASSAULT,True,91
2020/01/05 05:00:00+00,750,750,200 HAWLEY AV     ,SIMPLE ASSAULT,True,92
2020/01/05 05:00:00+00,1930,730,100 BROOKLEA DR     ,CRIMINAL MISCHIEF,True,93
2020/01/05 05:00:00+00,945,957,100 REMINGTON AV     ,OFFN AGAINST FAMILY,True,94
2020/01/05 05:00:00+00,1015,1032,100 W  OSTRANDER AV     ,CRIMINAL MISCHIEF,True,95
2020/01/05 05:00:00+00,1105,1110,200 SLOCUM AV     ,CRIMINAL MISCHIEF,True,96
2020/01/05 05:00:00+00,1224,1224,200 BEECHER ST     ,SIMPLE ASSAULT,True,97
2020/01/05 05:00:00+00,1233,1233,100 NELSON ST     ,SIMPLE ASSAULT,True,98
2020/01/05 05:00:00+00,2130,1543,200 BURNET AVE    ,SIMPLE ASSAULT,True,99
2020/01/05 05:00:00+00,1700,1700,800 N  MCBRIDE ST     ,SIMPLE ASSAULT,True,100
2019/12/28 05:00:00+00,1259,1259,600 HAZELWOOD AV     ,SIMPLE ASSAULT,False,101
2019/12/29 05:00:00+00,1211,915,100 REMINGTON AVE    ,CRIMINAL MISCHIEF,True,102
2019/12/30 05:00:00+00,0,900,200 S  CLINTON ST     ,SIMPLE ASSAULT,False,103
2019/12/31 05:00:00+00,59,59,100 MURRAY AV     ,SIMPLE ASSAULT,True,104
2019/12/31 05:00:00+00,2200,730,100 ANNETTA ST     ,CRIMINAL MISCHIEF,True,105
2020/01/01 05:00:00+00,16,17,400 TULLY ST     ,SIMPLE ASSAULT,True,106
2020/01/01 05:00:00+00,22,22,100 MOORE AV     ,DRIVING UNDER INFLUENCE,True,107
2020/01/01 05:00:00+00,56,56,100 STEWART CT     ,CRIMINAL MISCHIEF,True,108
2020/01/01 05:00:00+00,110,110,200 FITCH ST     ,SIMPLE ASSAULT,True,109
2020/01/01 05:00:00+00,155,155,100 RANDALL AV     ,SIMPLE ASSAULT,True,110
2020/01/01 05:00:00+00,201,201,900 FIRST NORTH ST     ,SIMPLE ASSAULT,True,111
2020/01/01 05:00:00+00,218,218,100 HARTSON ST     ,SIMPLE ASSAULT,True,112
2020/01/01 05:00:00+00,235,241,100 PALMER AV     ,CRIMINAL MISCHIEF,True,113
2020/01/01 05:00:00+00,352,352,1400 N  SALINA ST     ,CRIMINAL MISCHIEF,False,114
2020/01/01 05:00:00+00,410,410,500 W  NEWELL ST     ,POSSESSION/USE DANGEROUS WEAPONS,True,115
2020/01/01 05:00:00+00,458,458,600 GIFFORD ST     ,CRIMINAL MISCHIEF,True,116
2020/01/01 05:00:00+00,520,527,300 W  KIRKPATRICK ST     ,SIMPLE ASSAULT,True,117
2020/01/01 05:00:00+00,1215,1210,1300 BUTTERNUT ST     ,SIMPLE ASSAULT,True,118
2020/01/01 05:00:00+00,1240,1247,100 HUBBELL AVE    ,SIMPLE ASSAULT,True,119
2020/01/01 05:00:00+00,1630,1200,300 LATTER DR     ,CRIMINAL MISCHIEF,True,120
2020/01/01 05:00:00+00,200,1455,100 COUGHLIN AV     ,CRIMINAL MISCHIEF,True,121
2020/01/01 05:00:00+00,630,1605,1400 S  SALINA ST     ,CRIMINAL MISCHIEF,True,122
2020/01/01 05:00:00+00,1610,1617,400 WILKINSON ST     ,SIMPLE ASSAULT,True,123
2020/01/01 05:00:00+00,1717,1715,500 HILLSIDE ST     ,SIMPLE ASSAULT,True,124
2020/01/01 05:00:00+00,2249,2249,1900 JAMES ST     ,CRIMINAL MISCHIEF,True,125
2020/01/01 05:00:00+00,2100,2100,1000 N  TOWNSEND ST     ,OFFN AGAINST FAMILY,True,126
2020/01/01 05:00:00+00,200,200,500 WHITTIER AV     ,CRIMINAL MISCHIEF,False,127
2020/01/02 05:00:00+00,51,51,300 CROSSETT ST     ,POSSESSION/MARIJUANA,False,128
2020/01/02 05:00:00+00,151,151,1000 PARK ST     ,CRIMINAL MISCHIEF,True,129
2020/01/02 05:00:00+00,505,505,100 JOHN ST     ,SIMPLE ASSAULT,True,130
2020/01/02 05:00:00+00,845,845,300 WILKINSON ST     ,SIMPLE ASSAULT,True,131
2020/01/02 05:00:00+00,1321,1321,1000 COL EILEEN COLLINS BLVD   ,POSSESSION/MARIJUANA,False,132
2020/01/02 05:00:00+00,1346,1346,300 S  FRANKLIN ST     ,OFFN AGAINST FAMILY,True,133
2020/01/02 05:00:00+00,1537,1515,600 E  DIVISION ST     ,SIMPLE ASSAULT,True,134
2020/01/02 05:00:00+00,2100,1547,100 STRAND PL     ,SIMPLE ASSAULT,True,135
2020/01/02 05:00:00+00,1420,1420,100 NEW ST     ,CRIMINAL MISCHIEF,True,136
2020/01/02 05:00:00+00,1624,1624,100 SOUTH AV     ,FRAUD,False,137
2020/01/02 05:00:00+00,1800,1821,0 CENTENNIAL DR     ,SIMPLE ASSAULT,False,138
2020/01/02 05:00:00+00,1846,1846,200 W  PLEASANT AV     ,CRIMINAL MISCHIEF,True,139
2020/01/02 05:00:00+00,1945,1949,200 MILDRED AV     ,SIMPLE ASSAULT,True,140
2020/01/02 05:00:00+00,2045,2047,500 DELAWARE ST     ,SIMPLE ASSAULT,True,141
2020/01/02 05:00:00+00,2055,2055,900 WILLIS AV     ,SIMPLE ASSAULT,True,142
2020/01/02 05:00:00+00,2149,2149,2400 MIDLAND AV     ,POSSESSION/MARIJUANA,False,143
2020/01/02 05:00:00+00,2235,2243,900 FIRST NORTH ST     ,SIMPLE ASSAULT,True,144
2020/01/02 05:00:00+00,2250,2250,200 S  SALINA ST     ,ALL OTHER OFFENSES,True,145
2020/01/02 05:00:00+00,2248,2249,1000 N  TOWNSEND ST     ,SIMPLE ASSAULT,True,146
2020/01/02 05:00:00+00,1200,1200,500 COLUMBUS AV     ,CRIMINAL MISCHIEF,True,147
2020/01/02 05:00:00+00,800,2300,100 CLAIRE RD     ,FRAUD,False,148
2020/01/02 05:00:00+00,1415,1415,100 MIDLAND AV     ,CRIMINAL MISCHIEF,False,149
2020/01/03 05:00:00+00,107,107,400 W  ONONDAGA ST     ,ALL OTHER OFFENSES,False,150
2020/01/11 05:00:00+00,6,6,200 HERKIMER ST     ,POSSESSION/MARIJUANA,False,151
2020/01/11 05:00:00+00,111,111,100 DICKERSON ST     ,POSSESSION/MARIJUANA,False,152
2020/01/11 05:00:00+00,108,108,200 E  WATER ST     ,ALL OTHER OFFENSES,True,153
2020/01/11 05:00:00+00,232,233,500 HIGHLAND ST     ,SIMPLE ASSAULT,True,154
2020/01/11 05:00:00+00,239,239,300 W  FAYETTE ST     ,DRIVING UNDER INFLUENCE,True,155
2020/01/11 05:00:00+00,235,242,700 JAMES ST     ,SIMPLE ASSAULT,True,156
2020/01/11 05:00:00+00,315,315,500 BURNET AVE    ,POSSESSION/MARIJUANA,False,157
2020/01/11 05:00:00+00,350,354,1100 WADSWORTH ST     ,SIMPLE ASSAULT,True,158
2020/01/11 05:00:00+00,2100,730,300 S  WILBUR AV     ,CRIMINAL MISCHIEF,True,159
2020/01/11 05:00:00+00,1050,1047,300 GREENWAY AV     ,SIMPLE ASSAULT,True,160
2020/01/11 05:00:00+00,1303,1303,100 E  RAYNOR AV     ,POSSESSION/MARIJUANA,False,161
2020/01/11 05:00:00+00,1400,1400,600 BUTTERNUT ST     ,OFFN AGAINST FAMILY,True,162
2020/01/11 05:00:00+00,1410,1410,600 BUTTERNUT ST     ,OFFN AGAINST FAMILY,False,163
2020/01/11 05:00:00+00,1500,1500,600 VALLEY DR     ,ALL OTHER OFFENSES,False,164
2020/01/11 05:00:00+00,1553,1553,200 CONGRESS AVE    ,POSSESSION/USE DANGEROUS WEAPONS,True,165
2020/01/11 05:00:00+00,1640,1654,300 S  SALINA ST     ,CRIMINAL MISCHIEF,True,166
2020/01/11 05:00:00+00,1630,1700,1700 N  SALINA ST     ,SIMPLE ASSAULT,True,167
2020/01/11 05:00:00+00,2027,2027,4400 S  SALINA ST     ,POSSESSION/USE DANGEROUS WEAPONS,True,168
2020/01/11 05:00:00+00,2030,2030,600 HAMILTON ST     ,SIMPLE ASSAULT,True,169
2020/01/11 05:00:00+00,2310,2310,100 SEELEY AV     ,SIMPLE ASSAULT,True,170
2020/01/11 05:00:00+00,1738,1738,200 JOHN ST     ,CRIMINAL MISCHIEF,True,171
2020/01/11 05:00:00+00,325,1125,100 RUTH AV     ,CRIMINAL MISCHIEF,False,172
2020/01/11 05:00:00+00,1625,1625,200 LORRAINE AV     ,CRIMINAL MISCHIEF,False,173
2020/01/12 05:00:00+00,0,2,1000 W  GENESEE ST     ,SIMPLE ASSAULT,True,174
2020/01/12 05:00:00+00,108,108,300 S  CLINTON ST     ,SIMPLE ASSAULT,True,175
2020/01/12 05:00:00+00,45,47,200 GRUMBACH AVE    ,SIMPLE ASSAULT,True,176
2020/01/12 05:00:00+00,242,242,100 TALLMAN ST     ,POSSESSION/MARIJUANA,False,177
2020/01/12 05:00:00+00,421,421,1200 LODI ST     ,POSSESSION/MARIJUANA,False,178
2020/01/05 05:00:00+00,1825,1830,3500 S  SALINA ST     ,CRIMINAL MISCHIEF,True,179
2020/01/12 05:00:00+00,220,220,1200 LODI ST     ,ALL OTHER OFFENSES,False,180
2020/01/12 05:00:00+00,745,745,300 PROSPECT AV     ,OFFN AGAINST FAMILY,True,181
2020/01/12 05:00:00+00,1010,1010,3300 BURNET AV     ,SIMPLE ASSAULT,True,182
2020/01/12 05:00:00+00,1113,1113,200 W  CORNING AV     ,ALL OTHER OFFENSES,True,183
2020/01/12 05:00:00+00,1111,1121,200 KENMORE AV     ,SIMPLE ASSAULT,True,184
2020/01/12 05:00:00+00,1730,1200,1300 W  ONONDAGA ST     ,CRIMINAL MISCHIEF,True,185
2020/01/12 05:00:00+00,1412,1416,600 N  MCBRIDE ST     ,SIMPLE ASSAULT,True,186
2020/01/12 05:00:00+00,1500,1600,100 MAPLEHURST AV     ,SIMPLE ASSAULT,False,187
2020/01/12 05:00:00+00,1634,1634,1400 BELLEVUE AV     ,POSSESSION/USE DANGEROUS WEAPONS,True,188
2020/01/12 05:00:00+00,1630,1630,200 W  WILLOW ST     ,POSSESSION/MARIJUANA,True,189
2020/01/12 05:00:00+00,1500,1700,1700 COURT ST     ,CRIMINAL MISCHIEF,True,190
2020/01/12 05:00:00+00,2106,2106,100 OBERST ST     ,SIMPLE ASSAULT,True,191
2020/01/12 05:00:00+00,2100,2107,100 STEVENS PL     ,SIMPLE ASSAULT,True,192
2020/01/12 05:00:00+00,2322,2322,200 WOLF ST     ,CRIMINAL MISCHIEF,True,193
2020/01/12 05:00:00+00,1429,1429,100 W  ONONDAGA ST     ,ALL OTHER OFFENSES,False,194
2020/01/12 05:00:00+00,1940,1948,100 WORDEN AV     ,SIMPLE ASSAULT,True,195
2020/01/12 05:00:00+00,930,930,300 HILLSDALE AV     ,CRIMINAL MISCHIEF,False,196
2020/01/13 05:00:00+00,215,215,200 WOLF ST     ,CRIMINAL MISCHIEF,False,197
2020/01/13 05:00:00+00,410,410,700 JAMES ST     ,SIMPLE ASSAULT,False,198
2020/01/13 05:00:00+00,825,825,100 LINCOLN AV     ,ALL OTHER OFFENSES,True,199
2020/01/13 05:00:00+00,1130,1130,100 FISH AV     ,SIMPLE ASSAULT,True,200
2020/01/13 05:00:00+00,1205,1205,100 S  GEDDES ST     ,POSSESSION/MARIJUANA,False,201
2020/01/15 05:00:00+00,701,701,300 MILDRED AV     ,SIMPLE ASSAULT,False,202
2020/01/15 05:00:00+00,933,933,600 W  ONONDAGA ST     ,SIMPLE ASSAULT,True,203
2020/01/05 05:00:00+00,1843,1844,600 S  GEDDES ST     ,CRIMINAL MISCHIEF,False,204
2020/01/15 05:00:00+00,1450,1450,100 DICKERSON ST     ,ALL OTHER OFFENSES,False,205
2020/01/05 05:00:00+00,1830,2000,100 SLOCUM AV     ,SIMPLE ASSAULT,False,206
2020/01/15 05:00:00+00,1451,1451,1400 LODI ST     ,ALL OTHER OFFENSES,True,207
2020/01/05 05:00:00+00,2251,2344,500 S  SALINA ST     ,POSSESSION/USE DRUG,True,208
2020/01/15 05:00:00+00,1535,1537,1900 JAMES ST     ,CRIMINAL MISCHIEF,True,209
2020/01/06 05:00:00+00,6,6,900 TALLMAN ST     ,POSSESSION/MARIJUANA,False,210
2020/01/15 05:00:00+00,1603,1604,100 MAURICE AV     ,CRIMINAL MISCHIEF,True,211
2020/01/06 05:00:00+00,5,16,500 COLUMBUS AV     ,POSSESSION/USE DANGEROUS WEAPONS,True,212
2020/01/15 05:00:00+00,1706,1706,100 KELLOGG ST     ,POSSESSION/MARIJUANA,False,213
2020/01/06 05:00:00+00,101,101,1600 W  ONONDAGA ST     ,OFFN AGAINST FAMILY,True,214
2020/01/15 05:00:00+00,1918,1919,200 LAFAYETTE AV     ,CRIMINAL MISCHIEF,True,215
2020/01/06 05:00:00+00,105,150,2800 MIDLAND AV     ,ALL OTHER OFFENSES,False,216
2020/01/15 05:00:00+00,2110,2116,800 SOUTH AV     ,SIMPLE ASSAULT,True,217
2020/01/06 05:00:00+00,500,503,400 W  ONONDAGA ST     ,SIMPLE ASSAULT,True,218
2020/01/15 05:00:00+00,2143,2143,700 E  LAUREL ST     ,SIMPLE ASSAULT,True,219
2020/01/06 05:00:00+00,328,328,200 S  GEDDES ST     ,CRIMINAL MISCHIEF,True,220
2020/01/15 05:00:00+00,2000,2000,1500 BUTTERNUT ST     ,SIMPLE ASSAULT,True,221
2020/01/06 05:00:00+00,718,715,100 MATHER ST     ,SIMPLE ASSAULT,True,222
2020/01/16 05:00:00+00,20,20,100 PIERCE ST     ,ALL OTHER OFFENSES,False,223
2020/01/06 05:00:00+00,812,812,900 ONONDAGA AV     ,CRIMINAL MISCHIEF,True,224
2020/01/16 05:00:00+00,39,39,600 TOWNSEND ST     ,SIMPLE ASSAULT,False,225
2020/01/06 05:00:00+00,800,840,2000 S  SALINA ST     ,SIMPLE ASSAULT,True,226
2020/01/16 05:00:00+00,46,855,500 N  GEDDES ST     ,OFFN AGAINST FAMILY,True,227
2020/01/06 05:00:00+00,952,952,100 DICKERSON ST     ,SIMPLE ASSAULT,True,228
2020/01/16 05:00:00+00,215,216,200 SEYMOUR ST     ,CRIMINAL MISCHIEF,False,229
2020/01/06 05:00:00+00,1252,1252,200 BELLEVUE AV     ,ALL OTHER OFFENSES,False,230
2020/01/16 05:00:00+00,300,300,500 HIGHLAND ST     ,SIMPLE ASSAULT,True,231
2020/01/06 05:00:00+00,1250,1250,100 DICKERSON ST     ,ALL OTHER OFFENSES,False,232
2020/01/16 05:00:00+00,500,500,300 WOODRUFF AV     ,SIMPLE ASSAULT,True,233
2020/01/06 05:00:00+00,1327,1327,200 FITCH ST     ,POSSESSION/USE DRUG,False,234
2020/01/16 05:00:00+00,718,718,100 W  BEARD AV     ,SIMPLE ASSAULT,True,235
2020/01/06 05:00:00+00,1346,1346,100 POND ST     ,SIMPLE ASSAULT,True,236
2020/01/16 05:00:00+00,750,750,100 W  FAYETTE ST     ,CRIMINAL MISCHIEF,True,237
2020/01/06 05:00:00+00,1642,1642,200 MOORE AV     ,CRIMINAL MISCHIEF,True,238
2020/01/16 05:00:00+00,750,750,700 TULLY ST     ,CRIMINAL MISCHIEF,False,239
2020/01/16 05:00:00+00,800,900,1000 S  GEDDES ST     ,SIMPLE ASSAULT,True,240
2020/01/16 05:00:00+00,820,820,0 CENTENNIAL DR     ,SIMPLE ASSAULT,True,241
2020/01/16 05:00:00+00,905,905,800 ONONDAGA ST     ,POSSESSION/MARIJUANA,True,242
2020/01/16 05:00:00+00,1026,1026,100 DICKERSON ST     ,OFFN AGAINST FAMILY,True,243
2020/01/16 05:00:00+00,1056,1056,800 S  SALINA ST     ,SIMPLE ASSAULT,True,244
2020/01/16 05:00:00+00,1105,1105,700 W  FAYETTE ST     ,POSSESSION/MARIJUANA,False,245
2020/01/16 05:00:00+00,0,0,100 ARLINGTON AV     ,CRIMINAL MISCHIEF,False,246
2020/01/16 05:00:00+00,819,819,100 E  JEFFERSON ST     ,SIMPLE ASSAULT,True,247
2020/01/16 05:00:00+00,1019,1210,2000 ERIE BLVD E ,SIMPLE ASSAULT,True,248
2020/01/16 05:00:00+00,1245,1245,600 HIAWATHA BLVD W ,SIMPLE ASSAULT,True,249
2020/01/16 05:00:00+00,1250,1300,200 N  MIDLER AV     ,CRIMINAL MISCHIEF,True,250
2020/01/16 05:00:00+00,1325,1325,1200 MIDLAND AV     ,SIMPLE ASSAULT,True,251
2020/01/16 05:00:00+00,1500,1500,1100 CANNON ST     ,POSSESSION/MARIJUANA,False,252
2020/01/16 05:00:00+00,1440,1440,100 MARVIN RD     ,POSSESSION/USE DRUG,False,253
2020/01/16 05:00:00+00,1854,1854,700 KIRKPATRICK ST     ,SIMPLE ASSAULT,True,254
2020/01/16 05:00:00+00,2150,2150,200 HOLLAND ST     ,POSSESSION/USE DANGEROUS WEAPONS,True,255
2020/01/16 05:00:00+00,1500,1500,800 DARLINGTON RD     ,SIMPLE ASSAULT,True,256
2020/01/16 05:00:00+00,2240,830,700 WESTCOTT ST     ,CRIMINAL MISCHIEF,False,257
2020/01/17 05:00:00+00,50,100,400 BURDICK AV     ,SIMPLE ASSAULT,True,258
2020/01/17 05:00:00+00,136,136,100 S  WEST ST     ,POSSESSION/MARIJUANA,False,259
2020/01/17 05:00:00+00,310,315,100 GARFIELD AV     ,SIMPLE ASSAULT,True,260
2020/01/17 05:00:00+00,813,814,200 HOEFLER ST     ,SIMPLE ASSAULT,True,261
2020/01/17 05:00:00+00,850,920,300 FITCH ST     ,OFFN AGAINST FAMILY,True,262
2020/01/17 05:00:00+00,855,902,2900 S  SALINA ST     ,OFFN AGAINST FAMILY,True,263
2020/01/17 05:00:00+00,1036,1036,700 CATHERINE ST     ,SIMPLE ASSAULT,True,264
2020/01/17 05:00:00+00,1130,1137,2800 GRANT BLVD   ,SIMPLE ASSAULT,True,265
2020/01/17 05:00:00+00,1140,1142,100 N  MIDLER AV     ,SIMPLE ASSAULT,True,266
2020/01/17 05:00:00+00,1130,1130,600 ROBINSON ST     ,POSSESSION/MARIJUANA,False,267
2020/01/17 05:00:00+00,800,1340,100 S  WARREN ST     ,POSSESSION/USE DANGEROUS WEAPONS,True,268
