DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,QualityOfLife,FID
2021/01/03 05:00:00+00,1230,1239,100 N  TOWNSEND ST     ,CRIMINAL MISCHIEF,True,58
2021/01/03 05:00:00+00,1230,1241,0 CENTENNIAL DR     ,SIMPLE ASSAULT,True,59
2021/01/03 05:00:00+00,1336,1336,600 E  DIVISION ST     ,SIMPLE ASSAULT,True,60
2021/01/03 05:00:00+00,1434,1434,200 RICH ST     ,POSSESSION/USE DANGEROUS WEAPONS,True,61
2021/01/03 05:00:00+00,1525,1531,1600 S  SALINA ST     ,SIMPLE ASSAULT,False,62
2021/01/03 05:00:00+00,1800,1800,1 DESTINY USA DR,OFFN AGAINST FAMILY,False,63
2021/01/03 05:00:00+00,2350,2359,2700 MIDLAND AV     ,OFFN AGAINST FAMILY,True,64
2021/01/03 05:00:00+00,0,1900,400 MIDLAND AV     ,POSSESSION/USE DANGEROUS WEAPONS,True,65
2021/01/03 05:00:00+00,1500,1500,100 LORRAINE AV     ,FRAUD,False,66
2021/01/04 05:00:00+00,239,239,0 CORCORAN CT     ,POSSESSION/USE DANGEROUS WEAPONS,True,67
2021/01/04 05:00:00+00,511,511,100 DEARBORN PL     ,OFFN AGAINST FAMILY,True,68
2021/01/04 05:00:00+00,500,730,100 BLOSSOM RD     ,CRIMINAL MISCHIEF,True,69
2021/01/04 05:00:00+00,900,933,100 CRESTVIEW DR     ,SIMPLE ASSAULT,True,70
2021/01/04 05:00:00+00,1016,1016,100 NORWOOD AV     ,OFFN AGAINST FAMILY,True,71
2021/01/04 05:00:00+00,1315,1321,400 LILLIAN AV     ,CRIMINAL MISCHIEF,True,72
2021/01/04 05:00:00+00,1445,1506,900 LEMOYNE AV     ,SIMPLE ASSAULT,True,73
2021/01/04 05:00:00+00,1723,1723,200 W  ONONDAGA ST     ,ALL OTHER OFFENSES,False,74
2021/01/04 05:00:00+00,1852,1852,400 WESTMORELAND        ,SIMPLE ASSAULT,True,75
2021/01/04 05:00:00+00,1917,1917,100 FOREST AV     ,CRIMINAL MISCHIEF,True,76
2021/01/04 05:00:00+00,2036,2036,4200 S  SALINA ST     ,POSSESSION/USE DANGEROUS WEAPONS,True,77
2021/01/04 05:00:00+00,2114,2114,100 ELMWOOD AV     ,SIMPLE ASSAULT,True,78
2021/01/04 05:00:00+00,600,1730,100 BENNINGTON DR     ,CRIMINAL MISCHIEF,False,79
2021/01/04 05:00:00+00,2156,2156,100 WHITTIER AV     ,SIMPLE ASSAULT,True,80
2021/01/04 05:00:00+00,2230,2240,300 WARHAM ST     ,SIMPLE ASSAULT,True,81
2021/01/04 05:00:00+00,2252,2252,100 BISHOP AV     ,SIMPLE ASSAULT,True,82
2021/01/04 05:00:00+00,2255,2255,300 SENECA DR     ,SIMPLE ASSAULT,True,83
2021/01/04 05:00:00+00,800,1100,400 E  DIVISION ST     ,CRIMINAL MISCHIEF,True,84
2021/01/04 05:00:00+00,800,1000,500 W  BRIGHTON AV     ,CRIMINAL MISCHIEF,True,85
2021/01/04 05:00:00+00,2200,900,200 CLYDE AV     ,CRIMINAL MISCHIEF,False,86
2021/01/05 05:00:00+00,6,6,300 BELLEVUE AV     ,OFFN AGAINST FAMILY,False,87
2021/01/05 05:00:00+00,10,14,500 CATHERINE ST     ,OFFN AGAINST FAMILY,True,88
2021/01/05 05:00:00+00,555,558,100 W  LYNHURST AV     ,SIMPLE ASSAULT,True,89
2021/01/05 05:00:00+00,900,900,300 WEBSTER AV     ,CRIMINAL MISCHIEF,True,90
2021/01/05 05:00:00+00,940,945,200 MOUNTAINVIEW AV     ,OFFN AGAINST FAMILY,True,91
2021/01/05 05:00:00+00,1221,1221,300 ELLIOTT ST     ,SIMPLE ASSAULT,True,92
2021/01/05 05:00:00+00,1318,1318,2300 S  SALINA ST     ,SIMPLE ASSAULT,True,93
2021/01/05 05:00:00+00,1327,1327,1000 1ST NORTH ST     ,SIMPLE ASSAULT,True,94
2021/01/05 05:00:00+00,1200,1200,500 S  CLINTON ST     ,CRIMINAL MISCHIEF,True,95
2021/01/05 05:00:00+00,1400,1408,100 CUMBERLAND AV     ,CRIMINAL MISCHIEF,True,96
2021/01/05 05:00:00+00,1500,1500,400 KIRKPATRICK ST     ,SIMPLE ASSAULT,True,97
2021/01/05 05:00:00+00,1500,1500,500 S  STATE ST     ,SIMPLE ASSAULT,False,98
2021/01/05 05:00:00+00,1821,1821,1100 S  SALINA ST     ,POSSESSION/MARIJUANA,False,99
2021/01/05 05:00:00+00,1926,1926,100 KELLOGG ST     ,POSSESSION/MARIJUANA,False,100
2021/01/13 05:00:00+00,230,320,100 RONEY LN     ,SIMPLE ASSAULT,True,101
2021/01/13 05:00:00+00,2000,750,400 DOUGLAS ST     ,CRIMINAL MISCHIEF,True,102
2021/01/13 05:00:00+00,817,817,700 ASH ST     ,SIMPLE ASSAULT,True,103
2021/01/13 05:00:00+00,1700,820,400 GRANT BLVD   ,CRIMINAL MISCHIEF,True,104
2021/01/13 05:00:00+00,1700,500,900 W  GENESEE ST     ,CRIMINAL MISCHIEF,True,105
2021/01/13 05:00:00+00,1339,1339,300 E  COLVIN ST     ,SIMPLE ASSAULT,True,106
2021/01/13 05:00:00+00,1342,1342,100 FERNWOOD AV     ,CRIMINAL MISCHIEF,True,107
2021/01/13 05:00:00+00,1530,1452,200 SENECA DR     ,CRIMINAL MISCHIEF,True,108
2021/01/13 05:00:00+00,1658,1658,300 ELLIS ST     ,POSSESSION/MARIJUANA,False,109
2021/01/13 05:00:00+00,1745,1803,200 FITCH ST     ,POSSESSION/MARIJUANA,False,110
2021/01/13 05:00:00+00,1817,1817,200 WYOMING ST     ,ALL OTHER OFFENSES,True,111
2021/01/13 05:00:00+00,1907,1925,600 TALLMAN ST     ,POSSESSION/MARIJUANA,False,112
2021/01/13 05:00:00+00,2010,2040,800 SOUTH AV     ,POSSESSION/MARIJUANA,False,113
2021/01/13 05:00:00+00,2138,2205,500 CATHERINE ST     ,ALL OTHER OFFENSES,False,114
2021/01/13 05:00:00+00,2151,2209,100 WALL ST     ,POSSESSION/MARIJUANA,False,115
2021/01/13 05:00:00+00,2030,2226,100 DAVIS ST     ,CRIMINAL MISCHIEF,True,116
2021/01/13 05:00:00+00,2231,2231,100 MIDLAND AV     ,DRIVING UNDER INFLUENCE,False,117
2021/01/13 05:00:00+00,2235,2235,300 ROBINSON ST     ,POSSESSION/MARIJUANA,False,118
2021/01/13 05:00:00+00,2230,2237,700 JAMES ST     ,OFFN AGAINST FAMILY,True,119
2021/01/13 05:00:00+00,2327,2345,700 OSWEGO ST     ,ALL OTHER OFFENSES,False,120
2021/01/13 05:00:00+00,2333,2333,600 GIFFORD ST     ,POSSESSION/MARIJUANA,False,121
2021/01/14 05:00:00+00,1,39,100 N  GEDDES ST     ,OFFN AGAINST FAMILY,True,122
2021/01/14 05:00:00+00,224,224,400 BURT ST     ,SIMPLE ASSAULT,True,123
2021/01/14 05:00:00+00,249,249,1100 AVERY AV     ,ALL OTHER OFFENSES,True,124
2021/01/14 05:00:00+00,315,315,1400 E  ERIE BLVD   ,ALL OTHER OFFENSES,False,125
2021/01/14 05:00:00+00,2000,1217,0 TIPPERARY HILL        ,OFFN AGAINST FAMILY,True,126
2021/01/14 05:00:00+00,100,1046,600 POND ST     ,CRIMINAL MISCHIEF,True,127
2021/01/14 05:00:00+00,1230,1239,100 CANDEE AV     ,SIMPLE ASSAULT,True,128
2021/01/14 05:00:00+00,1406,1406,2900 S  SALINA ST     ,CRIMINAL MISCHIEF,True,129
2021/01/14 05:00:00+00,1200,1411,4500 S  SALINA ST     ,OFFN AGAINST FAMILY,True,130
2021/01/14 05:00:00+00,1544,1615,200 LUDDINGTON ST     ,POSSESSION/MARIJUANA,False,131
2021/01/14 05:00:00+00,1540,1540,200 S  WEST ST     ,OFFN AGAINST FAMILY,True,132
2021/01/14 05:00:00+00,1603,1603,100 JOHN ST     ,CRIMINAL MISCHIEF,True,133
2021/01/14 05:00:00+00,1900,900,700 W  GENESEE ST     ,CRIMINAL MISCHIEF,True,134
2021/01/14 05:00:00+00,1656,1736,200 JOHN ST     ,POSSESSION/USE DRUG,False,135
2021/01/14 05:00:00+00,1712,1712,1 DESTINY USA DR,OFFN AGAINST FAMILY,True,136
2021/01/14 05:00:00+00,1739,1739,200 HILLSDALE AVE    ,POSSESSION/MARIJUANA,True,137
2021/01/14 05:00:00+00,1742,1755,800 HIGHLAND ST     ,POSSESSION/MARIJUANA,False,138
2021/01/14 05:00:00+00,1745,1749,1900 S  STATE ST     ,OFFN AGAINST FAMILY,True,139
2021/01/14 05:00:00+00,1830,1855,700 S  WILBUR AV     ,POSSESSION/MARIJUANA,False,140
2021/01/14 05:00:00+00,1830,1830,100 N  GEDDES ST     ,POSSESSION/MARIJUANA,False,141
2021/01/14 05:00:00+00,1851,1915,500 S  SALINA ST     ,POSSESSION/MARIJUANA,False,142
2021/01/14 05:00:00+00,1934,1934,100 PUTNAM ST     ,POSSESSION/MARIJUANA,False,143
2021/01/14 05:00:00+00,1945,2002,400 DUDLEY ST     ,POSSESSION/MARIJUANA,False,144
2021/01/14 05:00:00+00,2304,2318,800 ONONDAGA AV     ,POSSESSION/MARIJUANA,False,145
2021/01/14 05:00:00+00,2230,2325,900 N  ALVORD ST     ,SIMPLE ASSAULT,True,146
2021/01/15 05:00:00+00,8,8,100 E  KENNEDY ST     ,CRIMINAL MISCHIEF,True,147
2021/01/15 05:00:00+00,0,19,100 GRANT AV     ,CRIMINAL MISCHIEF,True,148
2021/01/15 05:00:00+00,47,115,500 OAKWOOD AV     ,POSSESSION/MARIJUANA,False,149
2021/01/15 05:00:00+00,213,250,100 DEARBORN PL     ,POSSESSION/MARIJUANA,False,150
2021/01/05 05:00:00+00,2030,2030,200 E  MARTIN LUTHER KING        ,OFFN AGAINST FAMILY,True,151
2021/01/05 05:00:00+00,2129,2129,200 WESTMORELAND AV     ,OFFN AGAINST FAMILY,False,152
2021/01/05 05:00:00+00,2217,2217,400 MIDLAND AV     ,POSSESSION/USE DANGEROUS WEAPONS,True,153
2021/01/05 05:00:00+00,2246,2246,1400 BURNET AV     ,POSSESSION/MARIJUANA,False,154
2021/01/06 05:00:00+00,29,29,100 STATE FAIR BLVD   ,SIMPLE ASSAULT,True,155
2021/01/06 05:00:00+00,304,337,800 BUTTERNUT ST     ,POSSESSION/MARIJUANA,False,156
2021/01/06 05:00:00+00,528,528,300 RICHMOND AV     ,OFFN AGAINST FAMILY,False,157
2021/01/06 05:00:00+00,1800,602,600 FIRST NORTH ST     ,CRIMINAL MISCHIEF,True,158
2021/01/06 05:00:00+00,853,853,1200 BUTTERNUT ST     ,SIMPLE ASSAULT,True,159
2021/01/06 05:00:00+00,1000,1000,100 BYRNE PL     ,SIMPLE ASSAULT,True,160
2021/01/06 05:00:00+00,1030,1030,800 JAMES ST     ,SIMPLE ASSAULT,True,161
2021/01/06 05:00:00+00,1043,700,100 BELLE AV     ,SIMPLE ASSAULT,True,162
2021/01/06 05:00:00+00,0,1456,900 N  SALINA ST     ,ALL OTHER OFFENSES,False,163
2021/01/06 05:00:00+00,1625,1640,200 SCOTTHOLM BLVD   ,SIMPLE ASSAULT,True,164
2021/01/06 05:00:00+00,1652,1658,200 MERRIMAN AVE    ,POSSESSION/MARIJUANA,False,165
2021/01/06 05:00:00+00,1721,1800,200 HERRIMAN ST     ,POSSESSION/MARIJUANA,False,166
2021/01/06 05:00:00+00,1700,1728,100 WALL ST     ,OFFN AGAINST FAMILY,True,167
2021/01/06 05:00:00+00,1846,1846,100 SEELEY AVE    ,ALL OTHER OFFENSES,True,168
2021/01/06 05:00:00+00,1851,1851,500 RICH ST     ,POSSESSION/MARIJUANA,False,169
2021/01/06 05:00:00+00,1854,1854,300 HUDSON ST     ,POSSESSION/USE DRUG,False,170
2021/01/06 05:00:00+00,2156,2215,1000 W  GENESEE ST     ,POSSESSION/MARIJUANA,False,171
2021/01/06 05:00:00+00,2253,2253,500 HIGHLAND ST     ,SIMPLE ASSAULT,True,172
2021/01/07 05:00:00+00,7,50,1400 S  SALINA ST     ,POSSESSION/MARIJUANA,False,173
2021/01/07 05:00:00+00,115,115,600 PARK AV     ,SIMPLE ASSAULT,True,174
2021/01/07 05:00:00+00,320,320,1100 N  STATE ST     ,POSSESSION/USE DRUG,False,175
2021/01/07 05:00:00+00,359,359,400 MIDLAND AV     ,SIMPLE ASSAULT,True,176
2021/01/07 05:00:00+00,645,702,1000 W  GENESEE ST     ,SIMPLE ASSAULT,True,177
2021/01/07 05:00:00+00,1015,1015,300 GIFFORD ST     ,OFFN AGAINST FAMILY,True,178
2021/01/07 05:00:00+00,1205,1205,200 COMSTOCK PL     ,CRIMINAL MISCHIEF,True,179
2021/01/07 05:00:00+00,1234,1234,200 HARRISON ST     ,OFFN AGAINST FAMILY,True,180
2021/01/07 05:00:00+00,1357,1357,800 WOLF ST     ,CRIMINAL MISCHIEF,True,181
2021/01/07 05:00:00+00,1409,1409,500 W  ONONDAGA ST     ,OFFN AGAINST FAMILY,True,182
2021/01/07 05:00:00+00,2200,1705,100 LAFAYETTE RD     ,OFFN AGAINST FAMILY,True,183
2021/01/07 05:00:00+00,1715,1716,900 HIGHLAND ST     ,CRIMINAL MISCHIEF,True,184
2021/01/07 05:00:00+00,1722,1800,900 ONONDAGA AV     ,POSSESSION/MARIJUANA,False,185
2021/01/07 05:00:00+00,1728,1750,200 FURMAN ST     ,POSSESSION/MARIJUANA,False,186
2021/01/07 05:00:00+00,1930,1930,0 MERRIMAN AV     ,POSSESSION/MARIJUANA,False,187
2021/01/07 05:00:00+00,2015,2020,1600 N  SALINA ST     ,CRIMINAL MISCHIEF,True,188
2021/01/07 05:00:00+00,2138,2138,300 PROSPECT AVE    ,SIMPLE ASSAULT,True,189
2021/01/07 05:00:00+00,2154,2154,500 OSWEGO ST     ,POSSESSION/MARIJUANA,False,190
2021/01/07 05:00:00+00,2205,2205,700 JAMES ST     ,CRIMINAL MISCHIEF,True,191
2021/01/07 05:00:00+00,2259,2316,100 SABINE ST     ,POSSESSION/MARIJUANA,False,192
2021/01/07 05:00:00+00,2321,2341,1500 S  STATE ST     ,POSSESSION/MARIJUANA,False,193
2021/01/07 05:00:00+00,2323,2350,1300 W  ONONDAGA ST     ,POSSESSION/MARIJUANA,False,194
2021/01/07 05:00:00+00,1450,1428,200 BURDICK AVE    ,OFFN AGAINST FAMILY,False,195
2021/01/07 05:00:00+00,1438,1438,100 BENNINGTON DR     ,CRIMINAL MISCHIEF,False,196
2021/01/07 05:00:00+00,1442,1442,200 WAINWRIGHT AVE    ,SIMPLE ASSAULT,False,197
2021/01/08 05:00:00+00,157,157,400 ERIE BLVD E ,ALL OTHER OFFENSES,True,198
2021/01/08 05:00:00+00,257,257,1200 S  GEDDES ST     ,POSSESSION/USE DANGEROUS WEAPONS,True,199
2021/01/08 05:00:00+00,345,347,200 LAFAYETTE RD     ,CRIMINAL MISCHIEF,True,200
2021/01/10 05:00:00+00,1030,1051,600 BUTTERNUT ST     ,SIMPLE ASSAULT,True,201
2021/01/10 05:00:00+00,1440,1440,200 HELEN ST     ,CRIMINAL MISCHIEF,True,202
2021/01/10 05:00:00+00,1745,1745,400 W  ONONDAGA ST     ,OFFN AGAINST FAMILY,False,203
2021/01/10 05:00:00+00,1730,1730,2300 VALLEY DR     ,CRIMINAL MISCHIEF,True,204
2021/01/10 05:00:00+00,1730,1801,1400 S  SALINA ST     ,SIMPLE ASSAULT,True,205
2021/01/10 05:00:00+00,1802,1845,200 RICH ST     ,POSSESSION/MARIJUANA,False,206
2021/01/10 05:00:00+00,1745,1813,300 ROWLAND ST     ,SIMPLE ASSAULT,True,207
2021/01/10 05:00:00+00,1845,1845,100 FORDHAM RD     ,CRIMINAL MISCHIEF,True,208
2021/01/10 05:00:00+00,2045,2045,200 LAKEVIEW AV     ,SIMPLE ASSAULT,True,209
2021/01/10 05:00:00+00,2245,2300,300 CROSSETT ST     ,POSSESSION/MARIJUANA,False,210
2021/01/10 05:00:00+00,2300,2303,100 S  COLLINGWOOD AV     ,SIMPLE ASSAULT,True,211
2021/01/11 05:00:00+00,45,45,100 ARSENAL DR     ,DRIVING UNDER INFLUENCE,True,212
2021/01/11 05:00:00+00,154,230,3400 S  SALINA ST     ,POSSESSION/MARIJUANA,False,213
2021/01/11 05:00:00+00,300,322,200 MASSENA ST     ,CRIMINAL MISCHIEF,True,214
2021/01/11 05:00:00+00,653,653,300 LIBERTY ST     ,CRIMINAL MISCHIEF,True,215
2021/01/11 05:00:00+00,1041,1041,100 HALL AV     ,SIMPLE ASSAULT,True,216
2021/01/11 05:00:00+00,1045,1052,200 WARNER AV     ,CRIMINAL MISCHIEF,True,217
2021/01/11 05:00:00+00,1055,1055,200 ASHDALE AV     ,CRIMINAL MISCHIEF,True,218
2021/01/11 05:00:00+00,2000,1212,100 RONEY LN     ,CRIMINAL MISCHIEF,True,219
2021/01/11 05:00:00+00,1230,1230,100 HASBROUCK ST     ,CRIMINAL MISCHIEF,True,220
2021/01/11 05:00:00+00,1424,1424,500 S  SALINA ST     ,ALL OTHER OFFENSES,False,221
2021/01/11 05:00:00+00,1528,1528,200 WALTON ST     ,ALL OTHER OFFENSES,False,222
2021/01/11 05:00:00+00,1530,1530,100 ASHDALE AV     ,POSSESSION/USE DANGEROUS WEAPONS,True,223
2021/01/11 05:00:00+00,1615,1615,500 S  SALINA ST     ,SIMPLE ASSAULT,False,224
2021/01/11 05:00:00+00,1651,1651,700 W  ONONDAGA ST     ,SIMPLE ASSAULT,True,225
2021/01/11 05:00:00+00,1948,1948,200 JAMES ST     ,POSSESSION/USE DRUG,False,226
2021/01/11 05:00:00+00,2049,2049,600 JAMES ST     ,OFFN AGAINST FAMILY,True,227
2021/01/11 05:00:00+00,2256,2256,600 KIRKPATRICK ST     ,SIMPLE ASSAULT,True,228
2021/01/11 05:00:00+00,2303,2303,300 CRAIG ST     ,SIMPLE ASSAULT,True,229
2021/01/11 05:00:00+00,2326,2352,300 CROSSETT ST     ,POSSESSION/MARIJUANA,False,230
2021/01/11 05:00:00+00,1500,1500,200 FITCH ST     ,OFFN AGAINST FAMILY,False,231
2021/01/12 05:00:00+00,56,120,300 BALLANTYNE RD     ,POSSESSION/MARIJUANA,False,232
2021/01/12 05:00:00+00,900,956,1300 BUTTERNUT ST     ,SIMPLE ASSAULT,True,233
2021/01/12 05:00:00+00,950,950,900 PARK ST     ,SIMPLE ASSAULT,False,234
2021/01/12 05:00:00+00,2100,1052,300 SCHUYLER ST     ,SIMPLE ASSAULT,True,235
2021/01/12 05:00:00+00,1200,1100,1800 GRANT BLVD   ,FRAUD,False,236
2021/01/12 05:00:00+00,1117,1117,900 EMERSON AVE    ,SIMPLE ASSAULT,True,237
2021/01/12 05:00:00+00,2200,1000,200 COOLIDGE AV     ,CRIMINAL MISCHIEF,True,238
2021/01/12 05:00:00+00,950,950,900 PARK ST     ,OFFN AGAINST FAMILY,False,239
2021/01/12 05:00:00+00,1707,1725,200 DUDLEY ST     ,POSSESSION/MARIJUANA,False,240
2021/01/12 05:00:00+00,1713,1713,500 S  SALINA ST     ,ALL OTHER OFFENSES,False,241
2021/01/12 05:00:00+00,1716,1716,300 BELLEVUE AVE    ,POSSESSION/MARIJUANA,False,242
2021/01/12 05:00:00+00,1916,1940,100 BELLEVUE AV     ,POSSESSION/MARIJUANA,False,243
2021/01/12 05:00:00+00,1932,1940,100 BROAD ST     ,POSSESSION/MARIJUANA,False,244
2021/01/12 05:00:00+00,1937,1937,700 W  COLVIN ST     ,POSSESSION/MARIJUANA,False,245
2021/01/12 05:00:00+00,2127,2127,100 BRADFORD ST     ,POSSESSION/USE DRUG,False,246
2021/01/12 05:00:00+00,2115,2130,600 POND ST     ,CRIMINAL MISCHIEF,True,247
2021/01/13 05:00:00+00,115,115,500 S  SALINA ST     ,DISORDERLY CONDUCT,True,248
2021/01/13 05:00:00+00,118,119,1400 S  SALINA ST     ,SIMPLE ASSAULT,True,249
2021/01/13 05:00:00+00,136,136,100 N  GEDDES ST     ,CRIMINAL MISCHIEF,True,250
2021/01/15 05:00:00+00,2100,724,300 S  GEDDES ST     ,SIMPLE ASSAULT,True,251
2021/01/15 05:00:00+00,1930,715,400 SEYMOUR ST     ,CRIMINAL MISCHIEF,True,252
2021/01/15 05:00:00+00,800,800,200 LAFAYETTE RD     ,CRIMINAL MISCHIEF,True,253
2021/01/15 05:00:00+00,1103,1104,0 MACDOUGALL PL     ,SIMPLE ASSAULT,True,254
2021/01/15 05:00:00+00,1248,1249,100 N  GEDDES ST     ,SIMPLE ASSAULT,True,255
2021/01/15 05:00:00+00,1344,1344,200 W  KENNEDY ST     ,SIMPLE ASSAULT,True,256
2021/01/15 05:00:00+00,1536,1536,100 SOUTH AVE    ,ALL OTHER OFFENSES,False,257
2021/01/15 05:00:00+00,1550,1550,100 E  JEFFERSON ST     ,POSSESSION/MARIJUANA,False,258
2021/01/15 05:00:00+00,1726,1742,1300 S  SALINA ST     ,POSSESSION/MARIJUANA,False,259
2021/01/15 05:00:00+00,1730,1730,700 E  ADAMS ST     ,SIMPLE ASSAULT,True,260
2021/01/15 05:00:00+00,1752,1754,500 S  CLINTON ST     ,SIMPLE ASSAULT,True,261
2021/01/15 05:00:00+00,1811,1811,100 W  BRIGHTON AVE    ,POSSESSION/MARIJUANA,False,262
2021/01/15 05:00:00+00,1826,1826,200 SHONNARD ST     ,POSSESSION/MARIJUANA,False,263
2021/01/15 05:00:00+00,1849,1849,300 S  GEDDES ST     ,POSSESSION/MARIJUANA,False,264
2021/01/15 05:00:00+00,1919,1925,600 GIFFORD ST     ,POSSESSION/MARIJUANA,False,265
