DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,QualityOfLife,ObjectID
2019/01/04 00:00:00+00,0800,0745,300 WILKINSON ST     ,SIMPLE ASSAULT,0,76
2019/01/04 00:00:00+00,1124,1124,100 HENDERSON ST     ,SIMPLE ASSAULT,0,77
2019/01/04 00:00:00+00,1215,1215,200 ONEIDA ST     ,OFFN AGAINST FAMILY,0,78
2019/01/04 00:00:00+00,1300,1300,1600 W  COLVIN ST     ,POSSESSION/USE DRUG,0,79
2019/01/04 00:00:00+00,1300,1300,100 DIANA AV     ,POSSESSION/MARIJUANA,0,80
2019/01/04 00:00:00+00,1315,1322,100 HUDSON ST     ,OFFN AGAINST FAMILY,0,81
2019/01/04 00:00:00+00,1301,1301,300 GRAND AV     ,POSSESSION/USE DRUG,0,82
2019/01/04 00:00:00+00,1709,1709,2700 MIDLAND AV     ,SIMPLE ASSAULT,0,83
2019/01/04 00:00:00+00,1735,1741,100 WILMORE PL     ,SIMPLE ASSAULT,0,84
2019/01/04 00:00:00+00,1600,1918,600 PLYMOUTH DR     ,SIMPLE ASSAULT,0,85
2019/01/04 00:00:00+00,1800,1925,700 JAMES ST     ,SIMPLE ASSAULT,0,86
2019/01/04 00:00:00+00,1955,1955,300 OTISCO ST     ,DISORDERLY CONDUCT,0,87
2019/01/04 00:00:00+00,1950,1950,1600 E  FAYETTE ST     ,CRIMINAL MISCHIEF,1,88
2019/01/04 00:00:00+00,2005,2005,1400 BURNET AV     ,SIMPLE ASSAULT,0,89
2019/01/04 00:00:00+00,2135,2135,100 DUDLEY ST     ,POSSESSION/USE DANGEROUS WEAPONS,0,90
2019/01/04 00:00:00+00,2140,2143,200 GLENWOOD AV     ,SIMPLE ASSAULT,0,91
2019/01/04 00:00:00+00,0200,1000,100 PETERS ST     ,CRIMINAL MISCHIEF,1,92
2019/01/04 00:00:00+00,2213,2213,3000 GRANT BLVD   ,DRIVING UNDER INFLUENCE,0,93
2019/01/04 00:00:00+00,2247,2200,100 SENECA DR     ,CRIMINAL MISCHIEF,0,94
2019/01/04 00:00:00+00,2130,2305,400 GIFFORD ST     ,SIMPLE ASSAULT,0,95
2019/01/04 00:00:00+00,0935,0951,200 APPLE ST     ,OFFN AGAINST FAMILY,0,96
2019/01/04 00:00:00+00,1250,0900,400 GRIFFITHS ST     ,CRIMINAL MISCHIEF,0,97
2019/01/05 00:00:00+00,0113,0115,800 SOUTH AV     ,SIMPLE ASSAULT,0,98
2019/01/05 00:00:00+00,0215,0215,100 AMHERST AV     ,POSSESSION/MARIJUANA,0,99
2019/01/05 00:00:00+00,0328,0328,400 IVY RIDGE RD     ,ALL OTHER OFFENSES,1,100
2019/01/05 00:00:00+00,0830,0829,1000 JAMESVILLE AV     ,SIMPLE ASSAULT,0,101
2019/01/05 00:00:00+00,1355,1408,1200 CARBON ST     ,OFFN AGAINST FAMILY,0,102
2019/01/05 00:00:00+00,1400,1438,700 FIRST NORTH ST     ,SIMPLE ASSAULT,0,103
2019/01/05 00:00:00+00,1530,1530,100 ELLIS ST     ,POSSESSION/MARIJUANA,0,104
2019/01/05 00:00:00+00,1540,1545,200 BRUCE ST     ,OFFN AGAINST FAMILY,0,105
2019/01/05 00:00:00+00,1600,1608,200 W  LAFAYETTE AV     ,SIMPLE ASSAULT,0,106
2019/01/05 00:00:00+00,1655,1655,0 S  SALINA ST TO NB I 81 RAMP   ,ALL OTHER OFFENSES,0,107
2019/01/05 00:00:00+00,1839,1839,400 DELAWARE ST     ,POSSESSION/MARIJUANA,0,108
2019/01/05 00:00:00+00,1905,1910,100 GRIFFITHS ST     ,SIMPLE ASSAULT,0,109
2019/01/05 00:00:00+00,1506,1506,200 MCKINLEY AV     ,POSSESSION/MARIJUANA,0,110
2019/01/05 00:00:00+00,1950,1950,400 MIDLAND AV     ,POSSESSION/MARIJUANA,0,111
2019/01/05 00:00:00+00,2036,2036,1 DESTINY USA DR,ALL OTHER OFFENSES,0,112
2019/01/05 00:00:00+00,2035,2043,300 HERBERT ST     ,SIMPLE ASSAULT,0,113
2019/01/05 00:00:00+00,2120,2120,100 GRACE ST     ,POSSESSION/USE DANGEROUS WEAPONS,0,114
2019/01/05 00:00:00+00,1507,1507,100 DICKERSON ST     ,ALL OTHER OFFENSES,0,115
2019/01/05 00:00:00+00,2219,2219,500 GIFFORD ST     ,POSSESSION/MARIJUANA,0,116
2019/01/05 00:00:00+00,1514,1514,300 GIFFFORD ST     ,POSSESSION/MARIJUANA,0,117
2019/01/05 00:00:00+00,2300,2300,300 HERRIMAN ST     ,POSSESSION/MARIJUANA,0,118
2019/01/05 00:00:00+00,2340,2340,100 FERNWOOD AV     ,POSSESSION/MARIJUANA,0,119
2019/01/06 00:00:00+00,0130,0130,200 TURTLE ST     ,CRIMINAL MISCHIEF,0,120
2019/01/06 00:00:00+00,0205,0205,100 HUDSON ST     ,OFFN AGAINST FAMILY,0,121
2019/01/06 00:00:00+00,0257,0257,1100 OAK ST     ,ALL OTHER OFFENSES,0,122
2019/01/06 00:00:00+00,0330,0330,300 S  CLINTON ST     ,SIMPLE ASSAULT,1,123
2019/01/06 00:00:00+00,1247,1247,100 GENANT DR     ,POSSESSION/MARIJUANA,1,124
2019/01/06 00:00:00+00,2000,1155,100 LILAC ST     ,CRIMINAL MISCHIEF,0,125
2019/01/06 00:00:00+00,0900,1150,900 S  SALINA ST     ,OFFN AGAINST FAMILY,0,126
2019/01/06 00:00:00+00,1115,1334,0 CENTENNIAL DR     ,OFFN AGAINST FAMILY,0,127
2019/01/06 00:00:00+00,1200,1631,400 MERRIMAN AV     ,OFFN AGAINST FAMILY,0,128
2019/01/06 00:00:00+00,1635,1635,1 DESTINY USA DR,OFFN AGAINST FAMILY,0,129
2019/01/06 00:00:00+00,1600,1723,900 E  GENESEE ST     ,SIMPLE ASSAULT,0,130
2019/01/06 00:00:00+00,1800,1800,500 E  BRIGHTON AV     ,SIMPLE ASSAULT,0,131
2019/01/06 00:00:00+00,1901,1901,300 HUDSON ST     ,OFFN AGAINST FAMILY,0,132
2019/01/06 00:00:00+00,1924,1924,300 LILLIAN AV     ,DRIVING UNDER INFLUENCE,0,133
2019/01/06 00:00:00+00,1310,1310,1000 N  STATE ST     ,POSSESSION/MARIJUANA,1,134
2019/01/06 00:00:00+00,2000,2123,700 N  TOWNSEND ST     ,CRIMINAL MISCHIEF,0,135
2019/01/06 00:00:00+00,2145,2146,600 HIGHLAND ST     ,CRIMINAL MISCHIEF,1,136
2019/01/06 00:00:00+00,2311,2311,100 S  AVERY AV     ,DRIVING UNDER INFLUENCE,0,137
2019/01/06 00:00:00+00,2130,2130,400 S  CLINTON ST     ,CRIMINAL MISCHIEF,1,138
2019/01/07 00:00:00+00,0403,0403,100 HOPE AV     ,OFFN AGAINST FAMILY,0,139
2019/01/07 00:00:00+00,0500,0500,1000 COL EILEEN COLLINS BLVD   ,POSSESSION/MARIJUANA,0,140
2019/01/07 00:00:00+00,0819,0819,200 LAFAYETTE RD     ,CRIMINAL MISCHIEF,1,141
2019/01/07 00:00:00+00,0715,0730,100 E  JEFFERSON ST     ,CRIMINAL MISCHIEF,1,142
2019/01/07 00:00:00+00,1145,1145,400 SHONNARD ST     ,SIMPLE ASSAULT,1,143
2019/01/07 00:00:00+00,1250,1251,800 W  COLVIN ST     ,SIMPLE ASSAULT,0,144
2019/01/07 00:00:00+00,1330,1330,4100 E  GENESEE ST     ,SIMPLE ASSAULT,0,145
2019/01/07 00:00:00+00,1030,1519,100 RIVERDALE DR     ,OFFN AGAINST FAMILY,0,146
2019/01/07 00:00:00+00,1520,1526,100 BISHOP AV     ,CRIMINAL MISCHIEF,0,147
2019/01/07 00:00:00+00,1624,1624,2400 E  GENESEE ST     ,OFFN AGAINST FAMILY,1,148
2019/01/07 00:00:00+00,1630,1640,600 SECOND NORTH ST     ,SIMPLE ASSAULT,0,149
2019/01/07 00:00:00+00,1700,1700,400 W  ONONDAGA ST     ,ALL OTHER OFFENSES,0,150
2019/01/07 00:00:00+00,1816,1840,2400 MIDLAND AV     ,ALL OTHER OFFENSES,0,151
2019/01/07 00:00:00+00,1429,1429,100 WYOMING ST     ,POSSESSION/MARIJUANA,0,152
2019/01/07 00:00:00+00,2140,2140,1300 BUTTERNUT ST     ,CRIMINAL MISCHIEF,1,153
2019/01/07 00:00:00+00,1200,1400,1400 BUTTERNUT ST     ,CRIMINAL MISCHIEF,1,154
2019/01/07 00:00:00+00,1100,1100,900 JAMES ST     ,FORGERY/COUNTERFEIT,0,155
2019/01/07 00:00:00+00,1535,1535,1100 E  ADAMS ST     ,CRIMINAL MISCHIEF,0,156
2019/01/08 00:00:00+00,1300,1300,100 WARHAM ST     ,SIMPLE ASSAULT,0,157
2019/01/08 00:00:00+00,0100,0102,400 GRAVES ST     ,CRIMINAL MISCHIEF,0,158
2019/01/08 00:00:00+00,0650,0656,900 W  LAFAYETTE AV     ,SIMPLE ASSAULT,0,159
2019/01/08 00:00:00+00,2230,0715,100 SLAYTON AV     ,CRIMINAL MISCHIEF,1,160
2019/01/08 00:00:00+00,2300,0906,700 W  ONONDAGA ST     ,SIMPLE ASSAULT,0,161
2019/01/08 00:00:00+00,2000,1220,200 PUTNAM ST     ,SIMPLE ASSAULT,0,162
2019/01/08 00:00:00+00,1319,1319,100 E  BRIGHTON AV     ,SIMPLE ASSAULT,0,163
2019/01/08 00:00:00+00,1752,1516,300 LODI ST     ,OFFN AGAINST FAMILY,0,164
2019/01/08 00:00:00+00,1526,1526,1200 BUTTERNUT ST     ,ALL OTHER OFFENSES,1,165
2019/01/08 00:00:00+00,1900,1100,400 CANNON ST     ,OFFN AGAINST FAMILY,0,166
2019/01/08 00:00:00+00,1919,1919,200 HOLLAND ST     ,POSSESSION/USE DANGEROUS WEAPONS,0,167
2019/01/08 00:00:00+00,2110,2115,600 PLYMOUTH DR     ,OFFN AGAINST FAMILY,0,168
2019/01/08 00:00:00+00,2152,2153,600 W  ONONDAGA ST     ,SIMPLE ASSAULT,0,169
2019/01/08 00:00:00+00,2200,2233,100 WASHINGTON SQ     ,SIMPLE ASSAULT,0,170
2019/01/08 00:00:00+00,2250,2259,700 SOUTH AV     ,SIMPLE ASSAULT,0,171
2019/01/08 00:00:00+00,2200,0100,600 ARTHUR ST     ,OFFN AGAINST FAMILY,0,172
2019/01/08 00:00:00+00,0000,2359,300 PROSPECT AV     ,FORGERY/COUNTERFEIT,0,173
2019/01/09 00:00:00+00,0146,0146,100 WAYNE ST     ,SIMPLE ASSAULT,0,174
2019/01/09 00:00:00+00,0330,0330,100 CAMP AV     ,OFFN AGAINST FAMILY,0,175
2019/01/09 00:00:00+00,0430,0430,500 SEYMOUR ST     ,SIMPLE ASSAULT,0,176
2019/01/09 00:00:00+00,2000,1000,300 AUDUBON PKWY   ,CRIMINAL MISCHIEF,1,177
2019/01/09 00:00:00+00,2000,1045,200 SABINE ST     ,SIMPLE ASSAULT,0,178
2019/01/09 00:00:00+00,1040,1040,700 JAMES ST     ,SIMPLE ASSAULT,0,179
2019/01/09 00:00:00+00,1200,1130,100 CULBERT ST     ,CRIMINAL MISCHIEF,1,180
2019/01/09 00:00:00+00,1130,1135,2800 JAMES ST     ,SIMPLE ASSAULT,0,181
2019/01/09 00:00:00+00,1200,1130,100 CULBERT ST     ,CRIMINAL MISCHIEF,0,182
2019/01/09 00:00:00+00,1259,1430,200 E  COLVIN ST     ,POSSESSION/USE DRUG,0,183
2019/01/09 00:00:00+00,1348,1348,700 WILLOW ST     ,PROSTITUTION PATRON/PROMOTING,0,184
2019/01/09 00:00:00+00,1400,1400,1800 PARK ST     ,SIMPLE ASSAULT,0,185
2019/01/09 00:00:00+00,1350,1350,800 N  TOWNSEND ST     ,PROSTITUTION PATRON/PROMOTING,0,186
2019/01/09 00:00:00+00,1400,1400,1400 SPRING ST     ,PROSTITUTION PATRON/PROMOTING,0,187
2019/01/09 00:00:00+00,1432,1432,2000 S  SALINA ST     ,POSSESSION/USE DANGEROUS WEAPONS,0,188
2019/01/09 00:00:00+00,1535,1535,100 E  MATSON AV     ,SIMPLE ASSAULT,0,189
2019/01/09 00:00:00+00,1535,1535,500 S  CLINTON ST     ,SIMPLE ASSAULT,0,190
2019/01/09 00:00:00+00,1530,1535,700 BUTTERNUT ST     ,SIMPLE ASSAULT,0,191
2019/01/09 00:00:00+00,1625,1632,500 N  SALINA ST     ,SIMPLE ASSAULT,0,192
2019/01/09 00:00:00+00,1755,1755,400 MERRIMAN AV     ,POSSESSION/MARIJUANA,0,193
2019/01/09 00:00:00+00,2014,1817,200 WARNER AV     ,SIMPLE ASSAULT,0,194
2019/01/09 00:00:00+00,0949,0949,100 BISHOP AV     ,POSSESSION/MARIJUANA,0,195
2019/01/09 00:00:00+00,1938,2025,2000 S  SALINA ST     ,OFFN AGAINST FAMILY,0,196
2019/01/09 00:00:00+00,1300,1956,200 WOLF ST     ,SIMPLE ASSAULT,0,197
2019/01/09 00:00:00+00,1955,1955,300 E  DIVISION ST     ,CRIMINAL MISCHIEF,1,198
2019/01/09 00:00:00+00,2002,2002,2900 S  SALINA ST     ,SIMPLE ASSAULT,0,199
2019/01/09 00:00:00+00,2045,2101,500 WILKINSON ST     ,KIDNAPPING,0,200
2019/01/09 00:00:00+00,1518,1518,1600 BELLEVUE AV     ,POSSESSION/MARIJUANA,0,201
2019/01/09 00:00:00+00,1741,1805,100 HURON ST     ,POSSESSION/MARIJUANA,0,202
2019/01/09 00:00:00+00,1200,1200,100 PULASKI ST     ,FRAUD,0,203
2019/01/10 00:00:00+00,0155,0210,400 OSWEGO ST     ,POSSESSION/MARIJUANA,0,204
2019/01/10 00:00:00+00,1024,1024,900 DANFORTH ST     ,SIMPLE ASSAULT,0,205
2019/01/10 00:00:00+00,1448,1448,200 NICHOLS AV     ,SIMPLE ASSAULT,0,206
2019/01/10 00:00:00+00,1521,1521,100 FITCH ST     ,POSSESSION/USE DRUG,0,207
2019/01/10 00:00:00+00,1820,1820,100 DICKERSON ST     ,POSSESSION/USE DRUG,0,208
2019/01/10 00:00:00+00,1822,1822,100 ONONDAGA AV     ,POSSESSION/MARIJUANA,0,209
2019/01/10 00:00:00+00,1917,1917,300 OTISCO ST     ,CRIMINAL MISCHIEF,1,210
2019/01/11 00:00:00+00,0244,0244,900 AVERY AV     ,OFFN AGAINST FAMILY,0,211
2019/01/11 00:00:00+00,0424,0426,300 W  KENNEDY ST     ,OFFN AGAINST FAMILY,0,212
2019/01/11 00:00:00+00,0600,0713,0 CENTENNIAL DR     ,SIMPLE ASSAULT,0,213
2019/01/11 00:00:00+00,1416,1416,1000 S  CLINTON ST     ,SIMPLE ASSAULT,0,214
2019/01/11 00:00:00+00,1500,0710,200 W  BEARD AV     ,CRIMINAL MISCHIEF,1,215
2019/01/11 00:00:00+00,2053,2053,200 MAPLEHURST AV     ,SIMPLE ASSAULT,0,216
2019/01/11 00:00:00+00,2107,2107,100 W  BISSELL ST     ,POSSESSION/USE DANGEROUS WEAPONS,0,217
2019/01/11 00:00:00+00,2216,2216,100 W  COLVIN ST     ,POSSESSION/USE DANGEROUS WEAPONS,0,218
2019/01/11 00:00:00+00,2300,2346,100 MURRAY AV     ,CRIMINAL MISCHIEF,0,219
2019/01/11 00:00:00+00,0000,0400,400 UNION PL     ,OFFN AGAINST FAMILY,0,220
2019/01/12 00:00:00+00,1500,0145,600 BELLEVUE AV     ,ALL OTHER OFFENSES,0,221
2019/01/12 00:00:00+00,0220,0228,600 KIRKPATRICK ST     ,CRIMINAL MISCHIEF,0,222
2019/01/12 00:00:00+00,0215,0215,300 W  GENESEE ST     ,SIMPLE ASSAULT,0,223
2019/01/12 00:00:00+00,0245,0245,500 LEMOYNE AV     ,SIMPLE ASSAULT,0,224
2019/01/12 00:00:00+00,0303,0303,200 E  BELDEN AV     ,SIMPLE ASSAULT,0,225
2019/01/12 00:00:00+00,0420,0424,100 ORLANDO AV     ,SIMPLE ASSAULT,0,226
2019/01/12 00:00:00+00,0500,0506,500 OSWEGO ST     ,CRIMINAL MISCHIEF,0,227
2019/01/12 00:00:00+00,1040,1040,800 N  TOWNSEND ST     ,CRIMINAL MISCHIEF,0,228
2019/01/12 00:00:00+00,1345,1345,300 RICHMOND AV     ,POSSESSION/MARIJUANA,1,229
2019/01/12 00:00:00+00,1742,1742,1900 MIDLAND AV     ,SIMPLE ASSAULT,0,230
2019/01/12 00:00:00+00,1200,1914,500 LEMOYNE AV     ,OFFN AGAINST FAMILY,0,231
2019/01/12 00:00:00+00,1730,1755,900 IRVING AV     ,OFFN AGAINST FAMILY,0,232
2019/01/12 00:00:00+00,2340,0015,700 PARK ST     ,POSSESSION/MARIJUANA,0,233
2019/01/12 00:00:00+00,0943,0938,3100 JAMES ST     ,OFFN AGAINST FAMILY,0,234
2019/01/13 00:00:00+00,0030,0030,300 W  GENESEE ST     ,SIMPLE ASSAULT,1,235
2019/01/13 00:00:00+00,0651,0651,600 N  STATE ST     ,POSSESSION/MARIJUANA,0,236
2019/01/13 00:00:00+00,0100,0105,600 POND ST     ,SIMPLE ASSAULT,0,237
2019/01/13 00:00:00+00,0108,0108,500 WOLF ST     ,POSSESSION/USE DANGEROUS WEAPONS,0,238
2019/01/13 00:00:00+00,0257,0257,100 WEISER CT     ,SIMPLE ASSAULT,1,239
2019/01/13 00:00:00+00,0347,0345,200 FOREST HILL DR     ,CRIMINAL MISCHIEF,0,240
2019/01/13 00:00:00+00,0400,0411,700 HICKORY ST     ,SIMPLE ASSAULT,0,241
2019/01/13 00:00:00+00,0900,0900,400 FABIUS ST     ,SIMPLE ASSAULT,0,242
2019/01/13 00:00:00+00,1050,1050,700 PARK AV     ,OFFN AGAINST FAMILY,0,243
2019/01/13 00:00:00+00,2200,0850,100 OSTROM AVE    ,CRIMINAL MISCHIEF,1,244
2019/01/13 00:00:00+00,0000,1437,100 REED AV     ,CRIMINAL MISCHIEF,1,245
2019/01/13 00:00:00+00,1515,1515,100 HOEFLER ST     ,SIMPLE ASSAULT,0,246
2019/01/13 00:00:00+00,1719,1719,300 SPRINGFIELD RD     ,ALL OTHER OFFENSES,0,247
2019/01/13 00:00:00+00,2118,2118,100 HOEFLER ST     ,SIMPLE ASSAULT,0,248
2019/01/14 00:00:00+00,0039,0039,100 WESTCOTT ST     ,POSSESSION/USE DANGEROUS WEAPONS,0,249
2019/01/14 00:00:00+00,1226,1226,500 SOLAR ST     ,ALL OTHER OFFENSES,0,250
2019/01/14 00:00:00+00,1240,1240,1100 BUTTERNUT ST     ,CRIMINAL MISCHIEF,0,251
2019/01/14 00:00:00+00,1455,1455,100 FINEVIEW PL     ,POSSESSION/MARIJUANA,0,252
2019/01/14 00:00:00+00,1752,1825,100 MERRIMAN AV     ,POSSESSION/MARIJUANA,0,253
2019/01/14 00:00:00+00,1928,1928,200 HARWOOD AV     ,SIMPLE ASSAULT,0,254
2019/01/14 00:00:00+00,2210,2213,500 ROWLAND ST     ,CRIMINAL MISCHIEF,0,255
2019/01/14 00:00:00+00,1315,1315,300 MONTGOMERY ST     ,FORGERY/COUNTERFEIT,0,256
2019/01/14 00:00:00+00,1500,1500,100 DICKERSON ST     ,FRAUD,0,257
2019/01/14 00:00:00+00,1756,1756,1100 S  MCBRIDE ST     ,SIMPLE ASSAULT,0,258
2019/01/14 00:00:00+00,0000,0000,300 W  CALTHROP AV     ,FRAUD,0,259
2019/01/14 00:00:00+00,0830,0855,800 NORTHWAY ST     ,CRIMINAL MISCHIEF,0,260
2019/01/15 00:00:00+00,0022,0022,600 TALLMAN ST     ,POSSESSION/MARIJUANA,0,261
2019/01/15 00:00:00+00,0045,0045,300 CROSSETT ST     ,ALL OTHER OFFENSES,0,262
