DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE DEFINED,QualityOfLife,ObjectID
1/5/2022 12:00:00 AM,0001,0009,200 FURMAN ST,KIDNAPPING,0,166537
1/5/2022 12:00:00 AM,0022,0022,100 SLOCUM,SIMPLE ASSAULT,0,166538
1/5/2022 12:00:00 AM,0100,0100,600 OSWEGO ST,SIMPLE ASSAULT,0,166539
1/5/2022 12:00:00 AM,0626,0626,100 HIER AVE,SIMPLE ASSAULT,0,166540
1/5/2022 12:00:00 AM,2000,1000,100 W  WARRINGTON RD,CRIMINAL MISCHIEF,1,166541
1/5/2022 12:00:00 AM,1215,1215,300 SCOTTHOLM TER,POSSESSION/USE DANGEROUS WEAPONS,0,166542
1/5/2022 12:00:00 AM,1245,1245,200 GREEN ST,SIMPLE ASSAULT,0,166543
1/5/2022 12:00:00 AM,1246,1246,700 N  TOWNSEND ST,ALL OTHER OFFENSES,0,166544
1/5/2022 12:00:00 AM,1438,1438,200 GENESEE PARK DR,CRIMINAL MISCHIEF,1,166545
1/5/2022 12:00:00 AM,1457,1457,500 S  STATE ST,POSSESSION/USE DRUG,0,166546
1/5/2022 12:00:00 AM,1534,1534,200 TALLMAN ST,ALL OTHER OFFENSES,0,166547
1/5/2022 12:00:00 AM,1643,1643,600 N  SALINA ST,ALL OTHER OFFENSES,0,166548
1/5/2022 12:00:00 AM,1859,1859,100 RONEY LN,CRIMINAL MISCHIEF,0,166549
1/5/2022 12:00:00 AM,2127,2127,1700 COURT ST,CRIMINAL MISCHIEF,1,166550
1/6/2022 12:00:00 AM,0058,0058,100 HILLSDALE,CRIMINAL MISCHIEF,1,166551
1/6/2022 12:00:00 AM,0410,0428,200 CARBON ST,SIMPLE ASSAULT,0,166552
1/6/2022 12:00:00 AM,0513,0513,200 GENESEE PARK DR,CRIMINAL MISCHIEF,1,166553
1/6/2022 12:00:00 AM,1930,0825,900 W  LAFAYETTE,CRIMINAL MISCHIEF,1,166554
1/6/2022 12:00:00 AM,1135,1142,200 MARKLAND AVE,SIMPLE ASSAULT,0,166555
1/6/2022 12:00:00 AM,1300,1307,100 FAIRFIELD AVE,CRIMINAL MISCHIEF,0,166556
1/6/2022 12:00:00 AM,1445,1444,200 WESTMORELAND,SIMPLE ASSAULT,0,166557
1/6/2022 12:00:00 AM,1530,1530,100 STAFFORD,ALL OTHER OFFENSES,0,166558
1/6/2022 12:00:00 AM,1440,1440,1100 SALT SPRINGS RD,SIMPLE ASSAULT,0,166559
1/6/2022 12:00:00 AM,1801,1801,1 DESTINY USA DR,OFFN AGAINST FAMILY,0,166560
1/6/2022 12:00:00 AM,1810,1810,1600 W  ONONDAGA ST,CRIMINAL MISCHIEF,1,166561
1/6/2022 12:00:00 AM,2030,2032,2500 MIDLAND,SIMPLE ASSAULT,0,166562
1/6/2022 12:00:00 AM,2302,2302,400 FABIUS ST,POSSESSION/USE DANGEROUS WEAPONS,0,166563
1/6/2022 12:00:00 AM,2014,2014,200 HAWLEY AVE,POSSESSION/USE DANGEROUS WEAPONS,0,166564
1/7/2022 12:00:00 AM,0212,0212,200 WOLF ST,POSSESSION/USE DANGEROUS WEAPONS,1,166565
1/7/2022 12:00:00 AM,0445,0446,1300 W  GENESEE ST,CRIMINAL MISCHIEF,1,166566
1/7/2022 12:00:00 AM,0813,0813,100 SMITH LN,SIMPLE ASSAULT,0,166567
1/7/2022 12:00:00 AM,1240,1312,800 E  BRIGHTON,POSSESSION/USE DANGEROUS WEAPONS,1,166568
1/7/2022 12:00:00 AM,1530,1535,100 HIER,SIMPLE ASSAULT,0,166569
1/7/2022 12:00:00 AM,1624,1624,1600 S  GEDDES ST,SIMPLE ASSAULT,0,166570
1/7/2022 12:00:00 AM,1735,1739,1100 N  SALINA ST,SIMPLE ASSAULT,0,166571
1/7/2022 12:00:00 AM,2026,2026,200 CANNON ST,CRIMINAL MISCHIEF,0,166572
1/7/2022 12:00:00 AM,2040,2049,800 KIRKPATRICK ST,SIMPLE ASSAULT,0,166573
1/7/2022 12:00:00 AM,1200,1420,400 JAMES ST,OFFN AGAINST FAMILY,0,166574
1/8/2022 12:00:00 AM,0000,0118,500 CARBON ST,SIMPLE ASSAULT,0,166575
1/8/2022 12:00:00 AM,0334,0427,100 KEEN PL,CRIMINAL MISCHIEF,1,166576
1/8/2022 12:00:00 AM,0730,0735,800 KIRKPATRICK ST,POSSESSION/USE DANGEROUS WEAPONS,0,166577
1/8/2022 12:00:00 AM,1620,1620,100 SMITH LN,POSSESSION/USE DANGEROUS WEAPONS,0,166578
1/8/2022 12:00:00 AM,1450,1450,1400 VALLEY DR,SIMPLE ASSAULT,0,166579
1/8/2022 12:00:00 AM,1532,1532,100 FERNWOOD,SIMPLE ASSAULT,0,166580
1/8/2022 12:00:00 AM,2100,2130,100 CUMMINGS,SIMPLE ASSAULT,0,166581
1/8/2022 12:00:00 AM,2120,2120,1 DESTINY USA DR,OFFN AGAINST FAMILY,0,166582
1/9/2022 12:00:00 AM,0005,0005,1600 BELLEVUE,SIMPLE ASSAULT,0,166583
1/9/2022 12:00:00 AM,0043,0045,100 N  GEDDES ST,SIMPLE ASSAULT,0,166584
1/9/2022 12:00:00 AM,0445,0445,800 NORTHWAY ST,OFFN AGAINST FAMILY,0,166585
1/9/2022 12:00:00 AM,0524,0524,200 MIDLAND,POSSESSION/USE DANGEROUS WEAPONS,0,166586
1/9/2022 12:00:00 AM,0915,0920,2000 LODI ST,SIMPLE ASSAULT,0,166587
1/9/2022 12:00:00 AM,0042,1219,100 PARK,POSSESSION/USE DANGEROUS WEAPONS,0,166588
1/9/2022 12:00:00 AM,1415,1415,100 FRISBIE CT,CRIMINAL MISCHIEF,0,166589
1/9/2022 12:00:00 AM,1647,1647,300 W  KENNEDY ST,SIMPLE ASSAULT,0,166590
1/9/2022 12:00:00 AM,1630,1630,500 S  WILBUR,SIMPLE ASSAULT,0,166591
1/9/2022 12:00:00 AM,2106,2106,600 W  ONONDAGA ST,SIMPLE ASSAULT,0,166592
1/9/2022 12:00:00 AM,2230,2234,100 STEUBEN ST,SIMPLE ASSAULT,0,166593
1/9/2022 12:00:00 AM,2245,2247,300 COOLIDGE,SIMPLE ASSAULT,0,166594
1/9/2022 12:00:00 AM,2248,2248,200 WESTMORELAND,CRIMINAL MISCHIEF,1,166595
1/10/2022 12:00:00 AM,0006,0006,300 S  WEST ST,DRIVING UNDER INFLUENCE,0,166596
1/10/2022 12:00:00 AM,0100,0100,700 N  ALVORD ST,CRIMINAL MISCHIEF,1,166597
1/10/2022 12:00:00 AM,0725,0725,900 PARK ST,CRIMINAL MISCHIEF,1,166598
1/10/2022 12:00:00 AM,0300,0650,900 MILTON,CRIMINAL MISCHIEF,1,166599
1/10/2022 12:00:00 AM,0923,0923,300 W  NEWELL ST,OFFN AGAINST FAMILY,0,166600
1/10/2022 12:00:00 AM,1250,1256,500 ERIE BLVD W,SIMPLE ASSAULT,0,166601
1/10/2022 12:00:00 AM,1326,1327,500 FABIUS ST,SIMPLE ASSAULT,0,166602
1/10/2022 12:00:00 AM,1415,1415,200 WEBSTER,SIMPLE ASSAULT,0,166603
1/10/2022 12:00:00 AM,1454,1455,200 OTISCO ST,SIMPLE ASSAULT,0,166604
1/10/2022 12:00:00 AM,1909,1909,700 JAMES ST,SIMPLE ASSAULT,0,166605
1/10/2022 12:00:00 AM,0800,0800,400 SEYMOUR ST,SIMPLE ASSAULT,0,166606
1/10/2022 12:00:00 AM,2020,2000,200 S  WEST ST,CRIMINAL MISCHIEF,0,166607
1/11/2022 12:00:00 AM,0125,0127,300 N  SALINA ST,OFFN AGAINST FAMILY,0,166608
1/11/2022 12:00:00 AM,0022,0728,100 KEEN PL,SIMPLE ASSAULT,0,166609
1/11/2022 12:00:00 AM,1113,1113,1900 S  SALINA ST,POSSESSION/USE DANGEROUS WEAPONS,1,166610
1/11/2022 12:00:00 AM,1220,1220,400 ERIE BLVD E,OFFN AGAINST FAMILY,1,166611
1/11/2022 12:00:00 AM,1727,1727,300 KRAMER DR,SIMPLE ASSAULT,0,166612
1/12/2022 12:00:00 AM,0600,0600,200 SABINE ST,POSSESSION/USE DRUG,0,166613
1/12/2022 12:00:00 AM,1405,1405,4100 S  SALINA ST,ALL OTHER OFFENSES,0,166614
1/12/2022 12:00:00 AM,1558,1558,400 WESTMORELAND,CRIMINAL MISCHIEF,0,166615
1/12/2022 12:00:00 AM,0200,2030,2000 S  SALINA ST,SIMPLE ASSAULT,0,166616
1/12/2022 12:00:00 AM,2005,2012,500 CARBON ST,OFFN AGAINST FAMILY,0,166617
1/12/2022 12:00:00 AM,2031,2031,1500 S  STATE ST,CRIMINAL MISCHIEF,0,166618
1/12/2022 12:00:00 AM,2100,2100,300 W  SENECA TPKE,SIMPLE ASSAULT,0,166619
1/13/2022 12:00:00 AM,0238,0238,100 LAFAYETTE RD,SIMPLE ASSAULT,0,166620
1/13/2022 12:00:00 AM,1800,0715,900 TYSON PL,CRIMINAL MISCHIEF,1,166621
1/13/2022 12:00:00 AM,1800,0715,100 LINWELL TER,CRIMINAL MISCHIEF,0,166622
1/13/2022 12:00:00 AM,1051,1055,2400 S  STATE ST,SIMPLE ASSAULT,0,166623
1/13/2022 12:00:00 AM,1200,1210,600 W  ONONDAGA ST,SIMPLE ASSAULT,0,166624
1/13/2022 12:00:00 AM,1305,1305,300 BURT ST,ALL OTHER OFFENSES,0,166625
1/13/2022 12:00:00 AM,1337,1337,500 BUTTERNUT ST,POSSESSION/USE DRUG,0,166626
1/13/2022 12:00:00 AM,0639,1349,1000 TYSON PL,SIMPLE ASSAULT,0,166627
1/13/2022 12:00:00 AM,1630,1630,800 KIRKPATRICK ST,SIMPLE ASSAULT,0,166628
1/13/2022 12:00:00 AM,1644,1704,2000 SOUTH AVE,OFFN AGAINST FAMILY,0,166629
1/13/2022 12:00:00 AM,1640,1830,1 DESTINY USA DR,SIMPLE ASSAULT,0,166630
1/13/2022 12:00:00 AM,1737,1737,300 PARK ST,OFFN AGAINST FAMILY,0,166631
1/13/2022 12:00:00 AM,1738,1738,500 ATLANTIC,CRIMINAL MISCHIEF,0,166632
1/13/2022 12:00:00 AM,1820,1827,1000 WILLIS,CRIMINAL MISCHIEF,0,166633
1/13/2022 12:00:00 AM,1828,1828,200 COLUMBUS AVE,SIMPLE ASSAULT,0,166634
1/13/2022 12:00:00 AM,1851,1851,200 ISABELLA ST,ALL OTHER OFFENSES,0,166635
1/13/2022 12:00:00 AM,2224,2224,100 GROVE ST,SIMPLE ASSAULT,0,166636
1/13/2022 12:00:00 AM,2228,2228,100 SMITH LN,SIMPLE ASSAULT,0,166637
1/13/2022 12:00:00 AM,1430,1430,600 ROBINSON ST,OFFN AGAINST FAMILY,0,166638
1/14/2022 12:00:00 AM,0221,0221,400 TULLY ST,OFFN AGAINST FAMILY,0,166639
1/14/2022 12:00:00 AM,0609,0609,100 RADISSON CT,SIMPLE ASSAULT,0,166640
1/14/2022 12:00:00 AM,0815,0815,400 SHONNARD ST,CRIMINAL MISCHIEF,1,166641
1/14/2022 12:00:00 AM,0000,1000,100 MARVIN RD,OFFN AGAINST FAMILY,0,166642
1/14/2022 12:00:00 AM,1115,1207,1800 BUTTERNUT ST,OFFN AGAINST FAMILY,0,166643
1/14/2022 12:00:00 AM,1343,1343,100 MARIPOSA ST,OFFN AGAINST FAMILY,1,166644
1/14/2022 12:00:00 AM,1428,1428,2900 MIDLAND,SIMPLE ASSAULT,0,166645
1/14/2022 12:00:00 AM,1646,1646,700 HICKORY ST,POSSESSION/USE DANGEROUS WEAPONS,0,166646
1/14/2022 12:00:00 AM,1847,1847,200 DELAWARE ST,POSSESSION/USE DRUG,0,166647
1/14/2022 12:00:00 AM,2247,2247,1000 JAMES ST,DRIVING UNDER INFLUENCE,0,166648
1/14/2022 12:00:00 AM,0000,1438,800 MILTON,FRAUD,0,166649
1/14/2022 12:00:00 AM,1500,1500,500 S  STATE ST,OFFN AGAINST FAMILY,0,166650
1/15/2022 12:00:00 AM,0000,0010,200 W  NEWELL ST,SIMPLE ASSAULT,0,166651
1/15/2022 12:00:00 AM,0120,0125,300 PARK ST,SIMPLE ASSAULT,0,166652
1/15/2022 12:00:00 AM,0332,0332,900 POND ST,SIMPLE ASSAULT,0,166653
1/15/2022 12:00:00 AM,0415,0415,400 MIDLAND AVE,OFFN AGAINST FAMILY,0,166654
1/15/2022 12:00:00 AM,2100,0820,3100 MIDLAND,CRIMINAL MISCHIEF,0,166655
1/15/2022 12:00:00 AM,1325,1325,400 E  DIVISION ST,SIMPLE ASSAULT,0,166656
1/15/2022 12:00:00 AM,1731,1731,200 W  GENESEE ST,OFFN AGAINST FAMILY,0,166657
1/15/2022 12:00:00 AM,1922,1922,2600 MIDLAND,SIMPLE ASSAULT,0,166658
1/15/2022 12:00:00 AM,2000,2023,900 WADSWORTH ST,SIMPLE ASSAULT,0,166659
1/15/2022 12:00:00 AM,2220,2225,1100 W  BELDEN,CRIMINAL MISCHIEF,0,166660
1/15/2022 12:00:00 AM,2246,2246,700 OTISCO ST,SIMPLE ASSAULT,0,166661
1/15/2022 12:00:00 AM,2305,2305,100 SMITH LN,OFFN AGAINST FAMILY,0,166662
1/15/2022 12:00:00 AM,2307,2315,100 MARVIN RD,SIMPLE ASSAULT,0,166663
1/15/2022 12:00:00 AM,2324,2324,600 RENWICK,POSSESSION/USE DANGEROUS WEAPONS,0,166664
1/15/2022 12:00:00 AM,0000,2359,1200 TEALL,CRIMINAL MISCHIEF,1,166665
1/16/2022 12:00:00 AM,0112,0113,600 W  ONONDAGA ST,SIMPLE ASSAULT,0,166666
1/16/2022 12:00:00 AM,1053,1053,2500 ERIE BLVD E,POSSESSION/USE DRUG,0,166667
1/16/2022 12:00:00 AM,1106,1106,2500 JAMES ST,SIMPLE ASSAULT,0,166668
1/16/2022 12:00:00 AM,1119,1124,100 REMINGTON,SIMPLE ASSAULT,0,166669
1/16/2022 12:00:00 AM,1210,1210,100 MARIPOSA ST,SIMPLE ASSAULT,0,166670
1/16/2022 12:00:00 AM,1419,1419,1 DESTINY USA DR,CRIMINAL MISCHIEF,0,166671
1/16/2022 12:00:00 AM,1606,1606,800 W  COLVIN ST,SIMPLE ASSAULT,0,166672
1/16/2022 12:00:00 AM,1815,1816,200 GRIFFITHS ST,CRIMINAL MISCHIEF,0,166673
1/16/2022 12:00:00 AM,1910,1917,1700 W  GENESEE ST,SIMPLE ASSAULT,0,166674
1/16/2022 12:00:00 AM,2209,2214,1200 W  GENESEE ST,CRIMINAL MISCHIEF,1,166675
1/16/2022 12:00:00 AM,0200,0300,400 ELM ST,SIMPLE ASSAULT,0,166676
1/17/2022 12:00:00 AM,0033,0033,1900 E  FAYETTE ST,SIMPLE ASSAULT,0,166677
1/17/2022 12:00:00 AM,0144,0144,500 SECOND NORTH ST,CRIMINAL MISCHIEF,0,166678
1/17/2022 12:00:00 AM,1047,1057,1300 BUTTERNUT ST,SIMPLE ASSAULT,0,166679
1/17/2022 12:00:00 AM,1252,1252,300 WARNER AVE,SIMPLE ASSAULT,0,166680
1/17/2022 12:00:00 AM,1303,1303,700 WILLIS,CRIMINAL MISCHIEF,0,166681
1/17/2022 12:00:00 AM,1320,1329,100 GANNETT,CRIMINAL MISCHIEF,0,166682
1/17/2022 12:00:00 AM,1330,1334,400 ROWLAND ST,SIMPLE ASSAULT,0,166683
1/17/2022 12:00:00 AM,1600,1615,1100 CANNON ST,CRIMINAL MISCHIEF,0,166684
1/17/2022 12:00:00 AM,1638,1638,500 TOMPKINS ST,SIMPLE ASSAULT,0,166685
1/17/2022 12:00:00 AM,1757,1757,900 MILTON,SIMPLE ASSAULT,0,166686
1/17/2022 12:00:00 AM,1901,1901,600 S  MIDLER AVE,ALL OTHER OFFENSES,0,166687
1/17/2022 12:00:00 AM,1940,1950,100 HUDSON ST,OFFN AGAINST FAMILY,0,166688
1/17/2022 12:00:00 AM,2056,2056,100 HANCOCK DR,SIMPLE ASSAULT,0,166689
1/17/2022 12:00:00 AM,0117,0117,900 HIAWATHA BLVD W,CRIMINAL MISCHIEF,1,166690
1/17/2022 12:00:00 AM,2315,0650,1500 S  GEDDES ST,CRIMINAL MISCHIEF,0,166691
1/17/2022 12:00:00 AM,1600,1030,200 TOMPKINS ST,CRIMINAL MISCHIEF,0,166692
1/17/2022 12:00:00 AM,2300,0950,400 MILTON AVE,CRIMINAL MISCHIEF,0,166693
1/18/2022 12:00:00 AM,0755,0800,100 HUDSON ST,SIMPLE ASSAULT,0,166694
1/18/2022 12:00:00 AM,0800,0821,300 FIRST NORTH ST,SIMPLE ASSAULT,0,166695
1/18/2022 12:00:00 AM,0943,0943,200 NIAGARA ST,SIMPLE ASSAULT,0,166696
1/18/2022 12:00:00 AM,1118,1118,200 FITCH ST,SIMPLE ASSAULT,0,166697
1/18/2022 12:00:00 AM,1145,1145,500 DELAWARE ST,POSSESSION/USE DRUG,0,166698
1/18/2022 12:00:00 AM,1240,1240,800 S  WILBUR AVE,POSSESSION/USE DRUG,0,166699
1/18/2022 12:00:00 AM,1413,1413,300 ALLEN ST,POSSESSION/USE DANGEROUS WEAPONS,0,166700
1/18/2022 12:00:00 AM,1510,1516,500 SECOND NORTH ST,OFFN AGAINST FAMILY,0,166701
1/18/2022 12:00:00 AM,1515,1516,900 JAMES ST,SIMPLE ASSAULT,0,166702
1/18/2022 12:00:00 AM,1530,1535,200 ACADEMY ST,SIMPLE ASSAULT,0,166703
